column,count,mean,std,min,25%,50%,75%,max
2007,8.0,46.4375,2.417163331558001,43.4,44.375,46.55,47.375,50.4
2008,8.0,46.5375,2.5275270240183096,43.7,43.85,47.0,48.075,49.9
2009,8.0,45.925,1.5654757378235822,43.4,45.050000000000004,46.0,46.65,48.2
2010,8.0,45.1875,1.9141857649813254,42.2,43.675000000000004,45.6,46.2,48.2
2011,8.0,44.95,1.8799696046175076,42.2,43.35,45.3,46.025,47.3
2012,8.0,44.175,2.2185902860020947,40.8,42.4,44.6,45.425,47.3
2013,8.0,44.6375,2.586745058949568,41.3,42.25,45.1,46.175,47.9
2014,8.0,44.175,2.1743636179022925,41.4,42.25,44.55,45.225,47.2
2015,8.0,43.55,2.164651077128664,40.2,41.9,44.05,44.9,46.1
2016,8.0,43.2875,2.2503571145169703,40.4,41.25,43.9,44.55,46.1
2017,8.0,42.625,2.384323803513273,39.8,40.199999999999996,43.05,44.175,45.8
2018,8.0,41.650000000000006,2.0777735336515515,39.1,39.6,41.900000000000006,43.3,44.3
2019,8.0,41.487500000000004,2.343036796247858,37.6,39.825,41.9,42.8,44.8
