column,count,mean,std,min,25%,50%,75%,max
2007,22.0,47.82272727272727,6.403937168290399,38.4,45.65,47.2,49.275,72.0
2008,22.0,45.26363636363636,8.70634937735211,10.0,45.6,47.0,48.325,54.8
2009,22.0,44.12272727272727,10.347253227337648,0.0,44.7,46.05,46.875,54.1
2010,22.0,46.059090909090905,3.257468940159507,39.3,44.9,45.7,47.175000000000004,55.0
2011,22.0,45.518181818181816,2.834588466584131,39.0,44.225,45.7,47.150000000000006,50.9
2012,22.0,43.10000000000001,8.662673072551264,6.0,43.4,45.05,46.0,49.5
2013,22.0,43.02727272727273,10.273738217888218,0.0,44.35,46.0,46.925,49.5
2014,22.0,43.45,4.612586300650903,28.5,43.525,44.650000000000006,46.05,48.7
2015,22.0,42.62272727272728,7.5908423409979635,11.0,43.25,44.7,45.275,49.8
2016,22.0,42.35909090909092,9.86912738415486,0.0,42.849999999999994,44.35,45.1,50.8
2017,22.0,42.650000000000006,4.918163613924747,26.0,41.925,43.7,45.575,50.3
2018,22.0,41.404545454545456,5.821019160702365,18.7,41.400000000000006,43.0,43.650000000000006,48.2
2019,22.0,40.13181818181817,9.592079389422661,0.0,40.0,42.95,43.75,46.9
