분류,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
전체,46.8,47.1,46.1,45.7,45.3,44.6,45.1,44.6,44.0,43.9
관리직,47.7,49.5,49.3,51.9,46.4,48.3,46.1,44.1,39.9,43.5
경영·회계·사무 관련직,46.2,46.4,45.5,45.3,45.2,44.6,44.6,44.3,43.8,43.8
금융·보험 관련직,47.4,47.7,46.5,46.8,46.6,45.1,47.2,45.1,45.0,44.9
교육 및 자연과학·사회과학 연구관련직,37.1,39.7,39.6,38.5,38.7,37.4,37.1,37.4,37.0,36.9
법률·경찰·소방·교도 관련직,50.7,52.3,48.5,49.5,50.2,47.9,47.2,49.7,47.3,49.1
보건·의료 관련직,50.0,50.3,48.7,46.9,47.4,47.3,47.8,47.4,46.7,46.6
사회복지 및 종교 관련직,44.3,45.2,44.1,43.3,42.4,42.0,42.6,42.4,42.1,41.2
문화·예술·디자인·방송 관련직,47.7,47.3,47.3,47.0,46.0,45.1,45.6,44.8,44.6,43.3
운전 및 운송 관련직,51.2,49.2,49.6,49.5,49.0,47.0,48.7,45.8,47.0,45.4
영업 및 판매 관련직,48.9,49.6,48.7,48.3,47.9,46.6,46.8,45.7,44.5,43.0
경비 및 청소 관련직,46.1,46.8,48.9,46.8,45.4,47.0,48.5,44.2,43.6,43.1
미용·숙박·여행·오락 스포츠 관련직,47.0,47.7,48.2,47.3,45.2,44.3,43.7,42.2,40.8,42.3
음식서비스 관련직,52.1,52.1,52.5,49.4,48.3,44.8,43.0,43.1,42.8,39.7
건설 관련직,52.4,53.0,49.7,51.0,49.3,49.2,50.1,48.4,48.3,47.9
기계 관련직,50.5,50.9,48.7,49.9,49.2,48.4,49.1,49.4,48.1,48.3
재료관련직,51.3,50.0,46.8,49.3,49.4,49.3,48.0,49.0,48.1,49.9
화학 관련직,47.8,48.6,46.1,46.6,46.7,45.7,49.6,46.1,46.5,45.2
섬유 및 의복 관련직,48.5,49.9,49.8,48.7,49.0,50.7,49.4,47.0,48.0,49.3
전기·전자 관련직,48.9,50.5,47.4,49.5,48.2,47.6,48.4,47.4,46.5,46.6
정보통신 관련직,48.6,48.8,46.8,47.2,46.3,45.6,47.0,45.4,45.2,45.0
식품가공 관련직,50.4,53.0,50.3,50.8,48.9,48.8,48.6,48.9,49.0,48.5
환경·인쇄·목재·가구·공예 및 생산단순직,48.9,48.9,47.0,47.2,46.8,45.9,46.0,46.2,44.5,45.9
농림어업 관련직,49.6,57.1,54.4,45.6,52.2,48.8,50.8,44.6,48.9,47.6
군인,51.0,51.6,48.8,48.9,48.7,46.5,48.1,47.2,46.7,48.6
