column,count,mean,std,min,25%,50%,75%,max
2007,25.0,48.443999999999996,3.1134225540392038,37.1,47.4,48.9,50.5,52.4
2008,25.0,49.327999999999996,3.2583891725820595,39.7,47.7,49.5,50.9,57.1
2009,25.0,47.972,2.7860545579726175,39.6,46.8,48.5,49.3,54.4
2010,25.0,47.636,2.7661465374536225,38.5,46.8,47.3,49.5,51.9
2011,25.0,47.148,2.7029490067948623,38.7,46.0,47.4,49.0,52.2
2012,25.0,46.34,2.7204472671480575,37.4,45.1,46.6,48.3,50.7
2013,25.0,46.763999999999996,2.955345439481934,37.1,45.6,47.2,48.6,50.8
2014,25.0,45.61600000000001,2.718099826471917,37.4,44.3,45.7,47.4,49.7
2015,25.0,45.156000000000006,2.995006956029763,37.0,43.8,45.2,47.3,49.0
2016,25.0,45.18,3.2063738605055607,36.9,43.3,45.2,47.9,49.9
