column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,10,0,0.0,10,전체 | 1. 1～4명 | 2. 5～9명 | 3. 10～29명 | 4. 30～49명
2,2007,float64,10,0,0.0,10,46.8 | 44.3 | 46.0 | 47.7 | 46.1
3,2008,float64,10,0,0.0,9,47.1 | 45.5 | 47.4 | 47.3 | 46.5
4,2009,float64,10,0,0.0,8,46.1 | 46.3 | 46.5 | 45.5 | 45.4
5,2010,float64,10,0,0.0,9,45.7 | 43.9 | 45.4 | 46.2 | 44.8
6,2011,float64,10,0,0.0,9,45.4 | 44.1 | 45.0 | 45.6 | 44.0
7,2012,float64,10,0,0.0,8,44.6 | 42.8 | 43.7 | 44.2 | 45.4
8,2013,float64,10,0,0.0,10,45.1 | 42.4 | 44.4 | 44.8 | 44.7
9,2014,float64,10,0,0.0,10,44.7 | 41.3 | 43.7 | 44.8 | 44.3
10,2015,float64,10,0,0.0,10,44.1 | 41.7 | 42.9 | 44.4 | 43.9
11,2016,float64,10,0,0.0,10,44.0 | 40.3 | 42.0 | 44.3 | 44.2
12,2017,float64,10,0,0.0,9,43.3 | 39.7 | 41.3 | 43.5 | 43.6
13,2018,float64,10,0,0.0,9,42.2 | 39.0 | 39.2 | 42.7 | 42.8
14,2019,float64,10,0,0.0,9,41.9 | 37.2 | 38.2 | 42.0 | 42.9
