column,count,mean,std,min,25%,50%,75%,max
2007,10.0,46.730000000000004,1.1065963833103551,44.3,46.15,46.95,47.475,48.1
2008,10.0,47.19,0.882483868281895,45.5,46.725,47.25,47.4,48.6
2009,10.0,46.11,0.46055522047970576,45.4,45.775000000000006,46.2,46.45,46.8
2010,10.0,45.709999999999994,0.9048634028281728,43.9,45.4,45.8,46.175000000000004,47.0
2011,10.0,45.33,0.9900056116563739,44.0,44.55,45.4,45.825,47.0
2012,10.0,44.71,1.1541711792932237,42.8,43.825,44.6,45.55,46.3
2013,10.0,45.29,1.4873167487496104,42.4,44.625,44.95,46.3,47.6
2014,10.0,44.89,1.642119226961172,41.3,44.349999999999994,44.75,46.175000000000004,46.8
2015,10.0,44.169999999999995,1.2156845351031191,41.7,43.824999999999996,44.25,44.85,45.9
2016,10.0,44.23,1.8702643901034126,40.3,44.025,44.25,45.575,46.4
2017,10.0,43.489999999999995,1.8052085136564635,39.7,43.3,43.55,44.85,45.5
2018,10.0,42.410000000000004,1.9005554743577233,39.0,42.2,42.75,43.925,44.2
2019,10.0,42.18,2.6135544124174386,37.2,41.925,42.45,44.150000000000006,44.9
