analysis_year,school_name_std,campus_name_std,dept_name_std,degree_course,duplicate_rows,headcount_rows,kedi_dept_codes,raw_dept_examples,major_examples,enrolled_sum,graduates_sum,waiver_status,chosen_action,rationale,p4_impact,review_required
2024,경기대학교일반대학원,본교_제1캠퍼스,부동산자산관리학과,대학원과정,2,HC2024_05292 | HC2024_05293,G02010100804 | G02010101130,부동산?자산관리학과 | 부동산자산관리학과,사회계열 | 사회계열,14,1,WAIVED_PRESERVE_ROWS,preserve rows; do not sum/drop without source-level adjudication,정규화 후 같은 grain으로 보이나 KEDI 학과코드/분류/수치가 달라 원자료 행을 보존한다.,D03/D08는 outcome_row_id spine과 headcount_row_id bridge를 사용하므로 D08 row duplication은 발생하지 않음.,True
2024,단국대학교일반대학원,본교_제1캠퍼스,과학기술정책융합학과,대학원과정,2,HC2024_06952 | HC2024_06981,G02010101120 | G04090100157,과학기술정책융합학과 | 과학기술정책융합학과,사회계열 | 공학계열,78,0,WAIVED_PRESERVE_ROWS,preserve rows; do not sum/drop without source-level adjudication,정규화 후 같은 grain으로 보이나 KEDI 학과코드/분류/수치가 달라 원자료 행을 보존한다.,D03/D08는 outcome_row_id spine과 headcount_row_id bridge를 사용하므로 D08 row duplication은 발생하지 않음.,True
2024,동명대학교,본교_제1캠퍼스,정보보호학과,대학과정,2,HC2024_13757 | HC2024_13791,U02030500070 | U04080300582,정보보호학과 | 정보보호학과,사회계열 | 공학계열,125,26,WAIVED_PRESERVE_ROWS,preserve rows; do not sum/drop without source-level adjudication,정규화 후 같은 grain으로 보이나 KEDI 학과코드/분류/수치가 달라 원자료 행을 보존한다.,D03/D08는 outcome_row_id spine과 headcount_row_id bridge를 사용하므로 D08 row duplication은 발생하지 않음.,True
2024,배재대학교,본교_제1캠퍼스,드론로봇공학과,대학과정,2,HC2024_08570 | HC2024_08594,U04030200130 | U04110100063,드론로봇공학과 | 드론?로봇공학과,공학계열 | 공학계열,227,17,WAIVED_PRESERVE_ROWS,preserve rows; do not sum/drop without source-level adjudication,정규화 후 같은 grain으로 보이나 KEDI 학과코드/분류/수치가 달라 원자료 행을 보존한다.,D03/D08는 outcome_row_id spine과 headcount_row_id bridge를 사용하므로 D08 row duplication은 발생하지 않음.,True
2024,신라대학교,본교_제1캠퍼스,자동차기계공학과,대학과정,2,HC2024_09965 | HC2024_09968,U04040300021 | U04040300132,자동차기계공학과 | 자동차?기계공학과,공학계열 | 공학계열,52,1,WAIVED_PRESERVE_ROWS,preserve rows; do not sum/drop without source-level adjudication,정규화 후 같은 grain으로 보이나 KEDI 학과코드/분류/수치가 달라 원자료 행을 보존한다.,D03/D08는 outcome_row_id spine과 headcount_row_id bridge를 사용하므로 D08 row duplication은 발생하지 않음.,True
2024,연세대학교,본교_제1캠퍼스,문화미디어전공,대학과정,2,HC2024_10192 | HC2024_10208,U01020200132 | U02030500208,문화?미디어전공 | 문화미디어전공,인문계열 | 사회계열,268,58,WAIVED_PRESERVE_ROWS,preserve rows; do not sum/drop without source-level adjudication,정규화 후 같은 grain으로 보이나 KEDI 학과코드/분류/수치가 달라 원자료 행을 보존한다.,D03/D08는 outcome_row_id spine과 headcount_row_id bridge를 사용하므로 D08 row duplication은 발생하지 않음.,True
2024,우석대학교일반대학원,본교_제1캠퍼스,글로벌외식경영학과학과간협동과정,대학원과정,2,HC2024_10688 | HC2024_10690,G02010100934 | G02010101084,글로벌외식경영학과(학과간 협동과정) | 글로벌외식경영학과(학과간협동과정),사회계열 | 사회계열,43,37,WAIVED_PRESERVE_ROWS,preserve rows; do not sum/drop without source-level adjudication,정규화 후 같은 grain으로 보이나 KEDI 학과코드/분류/수치가 달라 원자료 행을 보존한다.,D03/D08는 outcome_row_id spine과 headcount_row_id bridge를 사용하므로 D08 row duplication은 발생하지 않음.,True
2024,우송대학교,본교_제1캠퍼스,소방안전학부,대학과정,2,HC2024_14178 | HC2024_14179,U04110200211 | U04110200258,소방안전학부 | 소방?안전학부,공학계열 | 공학계열,415,55,WAIVED_PRESERVE_ROWS,preserve rows; do not sum/drop without source-level adjudication,정규화 후 같은 grain으로 보이나 KEDI 학과코드/분류/수치가 달라 원자료 행을 보존한다.,D03/D08는 outcome_row_id spine과 headcount_row_id bridge를 사용하므로 D08 row duplication은 발생하지 않음.,True
2024,유원대학교,본교_제1캠퍼스,경찰소방행정학부,대학과정,2,HC2024_10606 | HC2024_10608,U02030700271 | U02030800067,경찰·소방행정학부 | 경찰소방행정학부,사회계열 | 사회계열,154,0,WAIVED_PRESERVE_ROWS,preserve rows; do not sum/drop without source-level adjudication,정규화 후 같은 grain으로 보이나 KEDI 학과코드/분류/수치가 달라 원자료 행을 보존한다.,D03/D08는 outcome_row_id spine과 headcount_row_id bridge를 사용하므로 D08 row duplication은 발생하지 않음.,True
2024,이화여자대학교대학원,본교_제1캠퍼스,기후에너지시스템공학과,대학원과정,2,HC2024_11032 | HC2024_11033,G04060200164 | G04060200239,기후?에너지시스템공학과 | 기후에너지시스템공학과,공학계열 | 공학계열,25,12,WAIVED_PRESERVE_ROWS,preserve rows; do not sum/drop without source-level adjudication,정규화 후 같은 grain으로 보이나 KEDI 학과코드/분류/수치가 달라 원자료 행을 보존한다.,D03/D08는 outcome_row_id spine과 headcount_row_id bridge를 사용하므로 D08 row duplication은 발생하지 않음.,True
2024,충남대학교,본교_제1캠퍼스,미생물분자생명과학과,대학과정,2,HC2024_03793 | HC2024_03794,U05020100310 | U05020100468,미생물분자생명과학과 | 미생물?분자생명과학과,자연계열 | 자연계열,172,33,WAIVED_PRESERVE_ROWS,preserve rows; do not sum/drop without source-level adjudication,정규화 후 같은 grain으로 보이나 KEDI 학과코드/분류/수치가 달라 원자료 행을 보존한다.,D03/D08는 outcome_row_id spine과 headcount_row_id bridge를 사용하므로 D08 row duplication은 발생하지 않음.,True
2024,한남대학교,본교_제1캠퍼스,토목환경공학전공,대학과정,2,HC2024_12309 | HC2024_12310,U04020100064 | U04020100189,토목환경공학전공 | 토목?환경공학전공,공학계열 | 공학계열,286,43,WAIVED_PRESERVE_ROWS,preserve rows; do not sum/drop without source-level adjudication,정규화 후 같은 grain으로 보이나 KEDI 학과코드/분류/수치가 달라 원자료 행을 보존한다.,D03/D08는 outcome_row_id spine과 headcount_row_id bridge를 사용하므로 D08 row duplication은 발생하지 않음.,True
