previous_duplicate_group_id,previous_rows,previous_row_ids,v2_row_ids,kedi_codes,school,campus,degree_course,resolution_class,resolution_basis,new_duplicate_rows_after,canonical_eligibility
D01DUP_001,2,HC2024_05292|HC2024_05293,HC2_2024_08144|HC2_2024_08145,G02010100804|G02010101130,경기대학교 일반대학원,본교(제1캠퍼스),대학원과정,semantic distinct rows,old key normalized punctuation-collapsed department labels; v2 keeps KEDI code plus day/status lineage,0,True
D01DUP_002,2,HC2024_06952|HC2024_06981,HC2_2024_11758|HC2_2024_11787,G02010101120|G04090100157,단국대학교 일반대학원,본교(제1캠퍼스),대학원과정,semantic distinct rows,old key normalized punctuation-collapsed department labels; v2 keeps KEDI code plus day/status lineage,0,True
D01DUP_003,2,HC2024_13757|HC2024_13791,HC2_2024_25177|HC2_2024_25211,U02030500070|U04080300582,동명대학교,본교(제1캠퍼스),대학과정,semantic distinct rows,old key normalized punctuation-collapsed department labels; v2 keeps KEDI code plus day/status lineage,0,True
D01DUP_004,2,HC2024_08570|HC2024_08594,HC2_2024_14993|HC2_2024_15017,U04030200130|U04110100063,배재대학교,본교(제1캠퍼스),대학과정,semantic distinct rows,old key normalized punctuation-collapsed department labels; v2 keeps KEDI code plus day/status lineage,0,True
D01DUP_005,2,HC2024_09965|HC2024_09968,HC2_2024_18211|HC2_2024_18214,U04040300021|U04040300132,신라대학교,본교(제1캠퍼스),대학과정,semantic distinct rows,old key normalized punctuation-collapsed department labels; v2 keeps KEDI code plus day/status lineage,0,True
D01DUP_006,2,HC2024_10192|HC2024_10208,HC2_2024_18662|HC2_2024_18678,U01020200132|U02030500208,연세대학교,본교(제1캠퍼스),대학과정,semantic distinct rows,old key normalized punctuation-collapsed department labels; v2 keeps KEDI code plus day/status lineage,0,True
D01DUP_007,2,HC2024_10688|HC2024_10690,HC2_2024_19672|HC2_2024_19674,G02010100934|G02010101084,우석대학교 일반대학원,본교(제1캠퍼스),대학원과정,semantic distinct rows,old key normalized punctuation-collapsed department labels; v2 keeps KEDI code plus day/status lineage,0,True
D01DUP_008,2,HC2024_14178|HC2024_14179,HC2_2024_25643|HC2_2024_25644,U04110200211|U04110200258,우송대학교,본교(제1캠퍼스),대학과정,semantic distinct rows,old key normalized punctuation-collapsed department labels; v2 keeps KEDI code plus day/status lineage,0,True
D01DUP_009,2,HC2024_10606|HC2024_10608,HC2_2024_19418|HC2_2024_19420,U02030700271|U02030800067,유원대학교,본교(제1캠퍼스),대학과정,semantic distinct rows,old key normalized punctuation-collapsed department labels; v2 keeps KEDI code plus day/status lineage,0,True
D01DUP_010,2,HC2024_11032|HC2024_11033,HC2_2024_20438|HC2_2024_20439,G04060200164|G04060200239,이화여자대학교 대학원,본교(제1캠퍼스),대학원과정,semantic distinct rows,old key normalized punctuation-collapsed department labels; v2 keeps KEDI code plus day/status lineage,0,True
D01DUP_011,2,HC2024_03793|HC2024_03794,HC2_2024_05329|HC2_2024_05330,U05020100310|U05020100468,충남대학교,본교(제1캠퍼스),대학과정,semantic distinct rows,old key normalized punctuation-collapsed department labels; v2 keeps KEDI code plus day/status lineage,0,True
D01DUP_012,2,HC2024_12309|HC2024_12310,HC2_2024_22901|HC2_2024_22902,U04020100064|U04020100189,한남대학교,본교(제1캠퍼스),대학과정,semantic distinct rows,old key normalized punctuation-collapsed department labels; v2 keeps KEDI code plus day/status lineage,0,True
