major_group_7,major7_mapping_method,major7_mapping_confidence,rows
ART,exact_dictionary,medium,136
ART,inherited_headcount,high,1259
ART,keyword_rule,medium,171
EDU,exact_dictionary,medium,31
EDU,inherited_headcount,high,687
EDU,keyword_rule,medium,10
ENG,exact_dictionary,medium,186
ENG,inherited_headcount,high,2212
ENG,keyword_rule,medium,244
HUM,exact_dictionary,medium,70
HUM,inherited_headcount,high,1010
HUM,keyword_rule,medium,28
MED,exact_dictionary,medium,39
MED,inherited_headcount,high,519
MED,keyword_rule,medium,74
NAT,exact_dictionary,medium,57
NAT,inherited_headcount,high,1098
NAT,keyword_rule,medium,103
SOC,exact_dictionary,medium,160
SOC,inherited_headcount,high,1776
SOC,keyword_rule,medium,229
,ambiguous,low,85
,unknown,unknown,58
