outcome_row_id,candidate_headcount_row_ids,candidate_preview,match_method,unmatched_reason,match_evidence,candidate_count,reviewer,review_timestamp,selection,selection_rationale,confidence
OC2024_00008,HC2_2024_07149|HC2_2024_07152,사회복지상담학과 | 사회복지상담학과(3년과정),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00010,HC2_2024_07157,안경광학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00015,HC2_2024_08946|HC2_2024_08947,AI?소프트웨어학부(인공지능전공) | AI?소프트웨어학부(소프트웨어전공),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00020,HC2_2024_08948,게임?영상학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00021,HC2_2024_08887|HC2_2024_08893|HC2_2024_08894,경영학부 | 경영학부(글로벌경영학) | 경영학부(경영학),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",3,,,,,
OC2024_00030,HC2_2024_08921|HC2_2024_08950|HC2_2024_08955,기계?스마트?산업공학부(기계공학전공) | 기계?스마트?산업공학부(산업공학전공) | 기계?스마트?산업공학부(스마트팩토리전공),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",3,,,,,
OC2024_00037,HC2_2024_08905,미디어커뮤니케이션학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00039,HC2_2024_08976|HC2_2024_08977|HC2_2024_08980,미술·디자인학부(디자인) | 미술·디자인학부(패션디자인) | 미술·디자인학부(회화·조소),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",3,,,,,
OC2024_00044,HC2_2024_08935|HC2_2024_08936,반도체공학부(반도체설계전공) | 반도체공학부(반도체?디스플레이전공),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00054,HC2_2024_08961,식품생명공학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00059,HC2_2024_08883,심리학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00060,HC2_2024_08990|HC2_2024_08991,약학과 | 약학과(2+4학제),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00063,HC2_2024_08972|HC2_2024_08995,운동재활학과 | 운동재활학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00067,HC2_2024_08982|HC2_2024_08983|HC2_2024_08984,음악학부(기악) | 음악학부(성악) | 음악학부(작곡),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",3,,,,,
OC2024_00071,HC2_2024_08973,의공학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00075,HC2_2024_08997,의용생체공학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
