dataset,column,role,dtype,p3_allowed_operation,p4_warning
D08,analysis_year,candidate_feature_or_strata,Int16,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,outcome_row_id,key_or_label_exclude_from_model,str,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,school_name_raw,key_or_label_exclude_from_model,string,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,school_name_base_raw,key_or_label_exclude_from_model,string,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,school_name_std,key_or_label_exclude_from_model,string,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,campus_name_raw,key_or_label_exclude_from_model,string,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,campus_seq,candidate_feature_or_strata,string,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,campus_branch,candidate_feature_or_strata,string,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,campus_name_std,key_or_label_exclude_from_model,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,dept_name_raw,key_or_label_exclude_from_model,string,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,dept_name_std,key_or_label_exclude_from_model,string,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,dept_field_raw,key_or_label_exclude_from_model,string,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,dept_field_std,key_or_label_exclude_from_model,string,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,credit_forfeit_flag,candidate_feature_or_strata,boolean,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,selectivity_proxy_pct,candidate_outcome_or_exposure,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,a_rate_pct,candidate_outcome_or_exposure,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,cd_rate_pct,candidate_outcome_or_exposure,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,f_rate_pct,candidate_outcome_or_exposure,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,employment_rate_pct,candidate_outcome_or_exposure,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,health_employment_rate_pct,candidate_outcome_or_exposure,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,progression_rate_pct,candidate_outcome_or_exposure,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,vocational_college_progression_rate_pct,candidate_outcome_or_exposure,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,university_progression_rate_pct,candidate_outcome_or_exposure,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,graduate_school_progression_rate_pct,candidate_outcome_or_exposure,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,domestic_progression_rate_pct,candidate_outcome_or_exposure,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,overseas_progression_rate_pct,candidate_outcome_or_exposure,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,has_selectivity,candidate_feature_or_strata,boolean,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,has_employment,candidate_feature_or_strata,boolean,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,has_progression,candidate_feature_or_strata,boolean,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,rate_range_qa,qa_metadata_exclude_from_model,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,source_file,qa_metadata_exclude_from_model,str,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,source_sha256,qa_metadata_exclude_from_model,str,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,headcount_row_id,key_or_label_exclude_from_model,str,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,match_method,qa_metadata_exclude_from_model,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,match_score,qa_metadata_exclude_from_model,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,candidate_count,candidate_feature_or_strata,Int16,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,review_needed,qa_metadata_exclude_from_model,boolean,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,match_evidence,qa_metadata_exclude_from_model,str,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,candidate_preview,qa_metadata_exclude_from_model,str,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,headcount_match_flag,qa_metadata_exclude_from_model,boolean,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,school_uid,key_or_label_exclude_from_model,string,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,campus_uid,key_or_label_exclude_from_model,string,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,dept_uid,key_or_label_exclude_from_model,string,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,kedi_dept_code,candidate_feature_or_strata,string,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,school_type,candidate_feature_or_strata,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,degree_course,candidate_feature_or_strata,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,campus_status,candidate_feature_or_strata,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,establishment_type,candidate_feature_or_strata,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,region_sido,candidate_feature_or_strata,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,region_sigungu,candidate_feature_or_strata,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,hc_major_group_raw,key_or_label_exclude_from_model,string,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,hc_major_group_7,candidate_feature_or_strata,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,field_middle_name,candidate_feature_or_strata,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,field_small_name,candidate_feature_or_strata,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,admission_capacity_n,candidate_feature_or_strata,Int32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,recruitment_n,candidate_feature_or_strata,Int32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,applicants_n,candidate_feature_or_strata,Int32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,admits_n,candidate_feature_or_strata,Int32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,enrolled_students_n,candidate_feature_or_strata,Int32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,leave_students_n,candidate_feature_or_strata,Int32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,graduates_n,candidate_feature_or_strata,Int32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,fulltime_faculty_n,candidate_feature_or_strata,Int32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,nonfulltime_faculty_n,candidate_feature_or_strata,Int32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,international_students_n,candidate_feature_or_strata,Int32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,female_students_n,candidate_feature_or_strata,Int32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,masters_students_n,candidate_feature_or_strata,Int32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,doctoral_students_n,candidate_feature_or_strata,Int32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,competition_ratio,candidate_feature_or_strata,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,admission_yield_ratio,candidate_feature_or_strata,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,admit_per_applicant_ratio,candidate_feature_or_strata,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,leave_rate_pct,candidate_feature_or_strata,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,female_student_share_pct,candidate_feature_or_strata,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,international_student_share_pct,candidate_feature_or_strata,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,student_faculty_ratio,candidate_feature_or_strata,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,fulltime_faculty_share_pct,candidate_feature_or_strata,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,graduate_intensity_pct,candidate_feature_or_strata,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,log_enrolled_students,candidate_feature_or_strata,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,log_graduates,candidate_feature_or_strata,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,has_masters_program,candidate_feature_or_strata,boolean,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,has_doctoral_program,candidate_feature_or_strata,boolean,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,major_group_7,candidate_feature_or_strata,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,major7_mapping_method,candidate_feature_or_strata,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,major7_mapping_confidence,candidate_feature_or_strata,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,major7_evidence,qa_metadata_exclude_from_model,str,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,major7_candidate_count,candidate_feature_or_strata,int64,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,major7_review_needed,qa_metadata_exclude_from_model,boolean,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,missing_feature_count,candidate_feature_or_strata,Int16,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,row_qa_status,qa_metadata_exclude_from_model,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,ctx24_reference_sample_n,context_2024_reference,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,ctx24_mean_income_10kkrw,context_2024_reference,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,ctx24_median_income_10kkrw,context_2024_reference,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,ctx24_income_300plus_pct,context_2024_reference,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,ctx24_income_400plus_pct,context_2024_reference,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,ctx24_large_company_pct,context_2024_reference,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,ctx24_mid_company_pct,context_2024_reference,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,ctx24_small_company_pct,context_2024_reference,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,ctx24_large_mid_company_pct,context_2024_reference,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,ctx24_public_nonprofit_pct,context_2024_reference,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,ctx24_cert_rate_pct,context_2024_reference,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,ctx24_cert_per_person,context_2024_reference,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,ctx24_log10_mean_income,context_2024_reference,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,ctx24_industry_top3_pct,context_2024_reference,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,ctx24_industry_hhi,context_2024_reference,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_profile_start_year,goms_historical_context,Int16,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_profile_end_year,goms_historical_context,Int16,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
