dataset,column_name,dtype,role,unit,source_topic_ids,null_policy,transformation,interpretation_note
D06,year,Int16,key,mixed,derived_or_metadata,not_null_expected,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,major_group_7,category,key,mixed,derived_or_metadata,not_null_expected,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,graduate_total_n,Float64,context_feature,count,GOMS_003,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,employed_n,Float64,context_feature,count,GOMS_003,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,unemployed_n,Float64,context_feature,count,GOMS_003,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,inactive_n,Float64,context_feature,count,derived_or_metadata,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,employment_rate_pct,Float32,context_feature,pct,GOMS_003,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,unemployment_rate_pct,Float32,context_feature,pct,GOMS_003,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,inactivity_rate_pct,Float32,context_feature,pct,GOMS_003,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,manufacturing_pct,Float32,context_feature,pct,GOMS_006,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,information_communication_pct,Float32,context_feature,pct,GOMS_006,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,professional_science_pct,Float32,context_feature,pct,GOMS_006,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,education_service_pct,Float32,context_feature,pct,GOMS_006,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,health_social_pct,Float32,context_feature,pct,GOMS_006,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,industry_top1_pct,Float32,context_feature,pct,GOMS_006,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,industry_top3_pct,Float32,context_feature,pct,GOMS_006,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,industry_hhi,Float32,context_feature,ratio,GOMS_006,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
