topic_id,topic_group_code,topic_name,population_scope,group_axis,outcome_axis,metric_family,statistic,unit,classification_version,share_direction,frequency_reconstruction_rule,include_in_major_mart,decision_rationale
GOMS_001,2,성별 경제활동 상태,all_graduates,sex,economic_status,distribution_frequency_share,"frequency,share",count_and_pct,all,P(group_axis|economic_status),rates must be reconstructed from frequency by group_axis and economic_status,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_002,2,학교유형별 경제활동 상태,all_graduates,school_type,economic_status,distribution_frequency_share,"frequency,share",count_and_pct,all,P(group_axis|economic_status),rates must be reconstructed from frequency by group_axis and economic_status,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_003,2,전공계열별 경제활동 상태,all_graduates,major_group,economic_status,distribution_frequency_share,"frequency,share",count_and_pct,all,P(major_group|economic_status),do not use share as employment rate; recalculate rates from frequency,True,major_group_7 grain source
GOMS_004,3,취업자의 성별 산업 분포,employed_graduates,sex,industry,distribution_frequency_share,"frequency,share",count_and_pct,all,P(outcome_axis|group_axis),share is usable as conditional distribution; frequency preserved for denominator QA,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_005,3,취업자의 학교유형별 산업 분포,employed_graduates,school_type,industry,distribution_frequency_share,"frequency,share",count_and_pct,all,P(outcome_axis|group_axis),share is usable as conditional distribution; frequency preserved for denominator QA,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_006,3,취업자의 전공별 산업 분포,employed_graduates,major_group,industry,distribution_frequency_share,"frequency,share",count_and_pct,all,P(industry|major_group),share is usable as conditional distribution; frequency preserved for denominator QA,True,major_group_7 grain source
GOMS_007,3,취업자의 성별 직업 분포(~2016),employed_graduates,sex,occupation,distribution_frequency_share,"frequency,share",count_and_pct,pre_2017,P(outcome_axis|group_axis),share is usable as conditional distribution; frequency preserved for denominator QA,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_008,3,취업자의 성별 직업 분포(2017~),employed_graduates,sex,occupation,distribution_frequency_share,"frequency,share",count_and_pct,post_2017,P(outcome_axis|group_axis),share is usable as conditional distribution; frequency preserved for denominator QA,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_009,3,취업자의 학교유형별 직업 분포(~2016),employed_graduates,school_type,occupation,distribution_frequency_share,"frequency,share",count_and_pct,pre_2017,P(outcome_axis|group_axis),share is usable as conditional distribution; frequency preserved for denominator QA,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_010,3,취업자의 학교유형별 직업 분포(2017~),employed_graduates,school_type,occupation,distribution_frequency_share,"frequency,share",count_and_pct,post_2017,P(outcome_axis|group_axis),share is usable as conditional distribution; frequency preserved for denominator QA,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_011,3,취업자의 전공별 직업 분포(~2016),employed_graduates,major_group,occupation,distribution_frequency_share,"frequency,share",count_and_pct,pre_2017,P(occupation|major_group),share is usable as conditional distribution; frequency preserved for denominator QA,True,major_group_7 grain source
GOMS_012,3,취업자의 전공별 직업 분포(2017~),employed_graduates,major_group,occupation,distribution_frequency_share,"frequency,share",count_and_pct,post_2017,P(occupation|major_group),share is usable as conditional distribution; frequency preserved for denominator QA,True,major_group_7 grain source
GOMS_013,3,취업자의 성별 사업체 규모,employed_graduates,sex,firm_size,distribution_frequency_share,"frequency,share",count_and_pct,all,P(outcome_axis|group_axis),share is usable as conditional distribution; frequency preserved for denominator QA,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_014,3,취업자의 학교유형별 사업체 규모,employed_graduates,school_type,firm_size,distribution_frequency_share,"frequency,share",count_and_pct,all,P(outcome_axis|group_axis),share is usable as conditional distribution; frequency preserved for denominator QA,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_015,3,취업자의 전공별 사업체 규모,employed_graduates,major_group,firm_size,distribution_frequency_share,"frequency,share",count_and_pct,all,P(firm_size|major_group),share is usable as conditional distribution; frequency preserved for denominator QA,True,major_group_7 grain source
GOMS_016,3,취업자의 성별 사업체 유형,employed_graduates,sex,firm_type,distribution_frequency_share,"frequency,share",count_and_pct,all,P(outcome_axis|group_axis),share is usable as conditional distribution; frequency preserved for denominator QA,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_017,3,취업자의 학교유형별 사업체 유형,employed_graduates,school_type,firm_type,distribution_frequency_share,"frequency,share",count_and_pct,all,P(outcome_axis|group_axis),share is usable as conditional distribution; frequency preserved for denominator QA,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_018,3,취업자의 전공별 사업체 유형,employed_graduates,major_group,firm_type,distribution_frequency_share,"frequency,share",count_and_pct,all,P(firm_type|major_group),share is usable as conditional distribution; frequency preserved for denominator QA,True,major_group_7 grain source
GOMS_019,3,취업자의 성별 종사상 지위,employed_graduates,sex,employment_status,distribution_frequency_share,"frequency,share",count_and_pct,all,P(outcome_axis|group_axis),share is usable as conditional distribution; frequency preserved for denominator QA,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_020,3,취업자의 학교유형별 종사상 지위,employed_graduates,school_type,employment_status,distribution_frequency_share,"frequency,share",count_and_pct,all,P(outcome_axis|group_axis),share is usable as conditional distribution; frequency preserved for denominator QA,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_021,3,취업자의 전공별 종사상 지위,employed_graduates,major_group,employment_status,distribution_frequency_share,"frequency,share",count_and_pct,all,P(employment_status|major_group),share is usable as conditional distribution; frequency preserved for denominator QA,True,major_group_7 grain source
GOMS_022,4,성별 월평균 근로소득,employed_graduates,sex,mean_monthly_income,continuous_mean,mean,10k_krw_per_month,all,not_applicable,mean only; standard deviation unavailable and not reconstructed,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_023,4,학교유형별 월평균 근로소득,employed_graduates,school_type,mean_monthly_income,continuous_mean,mean,10k_krw_per_month,all,not_applicable,mean only; standard deviation unavailable and not reconstructed,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_024,4,전공계열별 월평균 근로소득,employed_graduates,major_group,mean_monthly_income,continuous_mean,mean,10k_krw_per_month,all,not_applicable,mean only; standard deviation unavailable and not reconstructed,True,major_group_7 grain source
GOMS_025,4,산업별 월평균 근로소득,employed_graduates,industry,mean_monthly_income,continuous_mean,mean,10k_krw_per_month,all,not_applicable,mean only; standard deviation unavailable and not reconstructed,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_026,4,직업별 월평균 근로소득(~2016),employed_graduates,occupation,mean_monthly_income,continuous_mean,mean,10k_krw_per_month,pre_2017,not_applicable,mean only; standard deviation unavailable and not reconstructed,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_027,4,직업별 월평균 근로소득(2017~),employed_graduates,occupation,mean_monthly_income,continuous_mean,mean,10k_krw_per_month,post_2017,not_applicable,mean only; standard deviation unavailable and not reconstructed,False,non-major axis or not required for P4 D06/D07 handoff
GOMS_028,4,사업체 규모별 월평균 근로소득,employed_graduates,firm_size,mean_monthly_income,continuous_mean,mean,10k_krw_per_month,all,not_applicable,mean only; standard deviation unavailable and not reconstructed,False,non-major axis or not required for P4 D06/D07 handoff
