feature,expected_block,actual_block,exists,manual_approved,denylisted,dtype,missing_pct_structure,missing_pct_selectivity,status,reason
major_group_7,S0,S0,True,True,False,str,0.0,0.0,MATCH,
school_type,S0,S0,True,True,False,string,0.0,0.0,MATCH,
region_sido,S0,S0,True,True,False,string,0.0,0.0,MATCH,
campus_branch,S0,S0,True,True,False,string,0.0,0.0,MATCH,
credit_forfeit_flag,POLICY,POLICY,True,True,False,boolean,0.0,0.0,MATCH,
female_student_share_pct,B_CORE,B_CORE,True,True,False,Float32,0.00434668071654373,0.0006412311638345624,MATCH,
international_student_share_pct,B_CORE,B_CORE,True,True,False,Float32,0.00434668071654373,0.0006412311638345624,MATCH,
leave_rate_pct,B_CORE,B_CORE,True,True,False,Float32,0.00434668071654373,0.0006412311638345624,MATCH,
student_faculty_ratio,B_CORE,B_CORE,True,True,False,Float32,0.21008956796628028,0.03815325424815646,MATCH,
fulltime_faculty_share_pct,B_CORE,B_CORE,True,True,False,Float32,0.21008956796628028,0.03815325424815646,MATCH,
log_enrolled_students,B_SCALE,B_SCALE,True,True,False,Float32,0.0,0.0,MATCH,
log_graduates,B_SCALE,B_SCALE,True,True,False,Float32,0.0,0.0,MATCH,
selectivity_proxy_pct,Q_PRIMARY,Q_PRIMARY,True,False,False,Float32,0.589172813487882,0.0,NOT_APPROVED,manual_approved_p4_use is not True
competition_ratio,Q_PRIMARY,Q_PRIMARY,True,True,False,Float32,0.33245521601685984,0.008656620711766592,MATCH,
admission_yield_ratio,Q_SENSITIVITY,Q_SENSITIVITY,True,True,False,Float32,0.33245521601685984,0.008656620711766592,MATCH,
admit_per_applicant_ratio,Q_SENSITIVITY,Q_SENSITIVITY,True,True,False,Float32,0.33232349841938885,0.010900929785187561,MATCH,
admission_capacity_n,,manual_approved_extra,True,True,False,Int32,0.0,0.0,EXTRA,
admits_n,,manual_approved_extra,True,True,False,Int32,0.0,0.0,EXTRA,
analysis_year,,manual_approved_extra,True,True,False,Int16,0.0,0.0,EXTRA,
applicants_n,,manual_approved_extra,True,True,False,Int32,0.0,0.0,EXTRA,
campus_conflict_flag,,manual_approved_extra,True,True,False,bool,0.0,0.0,EXTRA,
campus_name_raw_x,,manual_approved_extra,True,True,True,string,0.0,0.0,EXTRA,id_or_name
campus_name_raw_y,,manual_approved_extra,True,True,True,string,0.0,0.0,EXTRA,id_or_name
campus_name_std_x,,manual_approved_extra,True,True,True,string,0.0,0.0,EXTRA,id_or_name
campus_name_std_y,,manual_approved_extra,True,True,True,string,0.0,0.0,EXTRA,id_or_name
campus_seq,,manual_approved_extra,True,True,False,string,0.0,0.0,EXTRA,
campus_uid,,manual_approved_extra,True,True,True,string,0.0,0.0,EXTRA,id_or_name
candidate_count,,manual_approved_extra,True,True,False,Int16,0.0,0.0,EXTRA,
candidate_headcount_row_ids,,manual_approved_extra,True,True,False,str,0.0,0.0,EXTRA,
ctx24_cert_per_person,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
ctx24_cert_rate_pct,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
ctx24_income_300plus_pct,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
ctx24_income_400plus_pct,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
ctx24_large_company_pct,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
ctx24_large_mid_company_pct,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
ctx24_log10_mean_income,,manual_approved_extra,True,True,True,Float32,0.0,0.0,EXTRA,context_leakage
