model_id,branch,diagnostic_flag,status
P2-S0,P2-S,,READY
P2-S1,P2-S,,READY
P2-S2,P2-S,,READY
P2-S3,P2-S,,READY
P2-S4,P2-S,,READY
P2-Q0,P2-Q,BLOCKED_FEATURE_CONTRACT,BLOCKED_FEATURE_CONTRACT
P2-Q1,P2-Q,BLOCKED_FEATURE_CONTRACT,BLOCKED_FEATURE_CONTRACT
P2-Q2,P2-Q,BLOCKED_FEATURE_CONTRACT,BLOCKED_FEATURE_CONTRACT
P2-Q3,P2-Q,BLOCKED_FEATURE_CONTRACT,BLOCKED_FEATURE_CONTRACT
P2-Q4,P2-Q,BLOCKED_FEATURE_CONTRACT,BLOCKED_FEATURE_CONTRACT
P2-Q4-YIELD,P2-Q,BLOCKED_FEATURE_CONTRACT,BLOCKED_FEATURE_CONTRACT
P2-Q4-ADMIT,P2-Q,BLOCKED_FEATURE_CONTRACT,BLOCKED_FEATURE_CONTRACT
