column,nunique,top,top_n
outcome_row_id,7592,OC2024_00001,1
school_name_raw,220,경북대학교,131
school_name_base_raw,197,강원대학교,147
school_name_std,197,강원대학교,147
campus_name_raw_x,11,,7094
campus_seq,4,,7253
campus_branch,2,,7447
campus_name_std_x,5,unknown,7108
dept_name_raw,3458,간호학과,103
dept_name_std,3420,간호학과,103
dept_field_raw,3103,간호,105
dept_field_std,3058,간호,105
credit_forfeit_flag,2,False,6679
has_selectivity,2,False,4473
has_employment,2,True,5600
has_progression,2,True,5674
rate_range_qa,1,ok,7592
source_file,1,P2_G2_정시입결.csv,7592
source_sha256,1,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,7592
campus_region_raw,8,,7416
dept_norm_strict,3420,간호학과,103
dept_norm_suffix_reduced,3057,간호,104
dept_token_signature,3057,간호,104
school_uid_x,197,SCH_193517d15ce2,147
headcount_row_id,7592,HC2_2024_07159,1
match_stage,1,L1,7592
match_method,1,exact_strict,7592
match_status,1,auto_high_confidence,7592
review_needed,1,False,7592
unmatched_reason,1,,7592
match_evidence,1,school+campus+department strict exact unique,7592
candidate_headcount_row_ids,7592,HC2_2024_07159,1
candidate_preview,3456,간호학과,103
campus_conflict_flag,1,False,7592
degree_course_conflict_flag,1,False,7592
major_conflict_flag,1,False,7592
forbidden_modifier_conflict_flag,1,False,7592
headcount_match_flag,1,True,7592
headcount_grain_version,1,v2_year_school_campus_day_degree_deptcode,7592
headcount_grain_uid,7592,HCG_fca851c614e1,1
grain_resolution_method,1,semantic_distinct_key_expansion,7592
grain_review_needed,1,False,7592
raw_row_lineage,7592,7243,1
school_uid_y,197,SCH_193517d15ce2,147
campus_uid,261,CAM_f6396906ee8f,122
dept_uid,7592,DEP_c02dd4a5678d,1
kedi_dept_code,3457,U06020100004,103
school_type,5,대학교,7365
degree_course,1,대학과정,7592
school_status_raw,3,기존,7411
day_evening_raw,4,주간,3846
campus_name_raw_y,5,본교(제1캠퍼스),6681
campus_name_std_y,5,본교_제1캠퍼스,6681
region_sido,17,서울,1469
region_sigungu,119,경북 경산시,339
hc_major_group_raw,7,공학계열,1940
hc_major_group_7,7,ENG,1940
field_middle_name,35,경영ㆍ경제,819
field_small_name,121,경영학,412
school_uid,197,SCH_193517d15ce2,147
major_group_7,7,ENG,1940
major7_mapping_method,1,inherited_headcount,7592
major7_mapping_confidence,1,high,7592
major7_review_needed,1,False,7592
major7_evidence,7,D01 v2 high-confidence match 대계열=공학계열,1940
major7_sample_exclusion_rule,1,,7592
has_structure_context,1,True,7592
has_major_group_7_high_medium,1,True,7592
row_qa_status,1,ok,7592
goms_aggregation_method,1,mixed_weighted_2017_2019,7592
goms_year_over_year_review_flag,2,False,6055
goms_mapping_confidence,1,medium_reviewed,7592
goms_row_qa_status,1,PASS,7592
school_uid_membership,197,SCH_193517d15ce2,147
campus_uid_membership,261,CAM_f6396906ee8f,122
dept_uid_membership,7592,DEP_c02dd4a5678d,1
major_group_7_membership,7,ENG,1940
school_type_membership,5,대학교,7365
region_sido_membership,17,서울,1469
split,3,train,5534
sample_P1_STRUCTURE_READY,2,True,5600
sample_P1_SELECTIVITY_READY,2,False,5237
sample_P2_STRUCTURE_READY,1,True,7592
sample_P2_SELECTIVITY_READY,2,False,4473
sample_P3_STRUCTURE_READY,1,True,7592
sample_P3_SELECTIVITY_READY,2,False,4473
sample_P4_E_STRUCTURE_READY,2,True,5600
sample_P4_P_STRUCTURE_READY,2,True,5674
sample_P4_JOINT_STRUCTURE_READY,2,True,5600
sample_P4_E_SELECTIVITY_READY,2,False,5237
sample_P4_P_SELECTIVITY_READY,2,False,5216
sample_P4_JOINT_SELECTIVITY_READY,2,False,5237
p2_sample_id,1,P2_STRUCTURE_READY,7592
