column,missing_n,missing_pct
ctx24_industry_top3_pct,7592,1.0
ctx24_industry_hhi,7592,1.0
selectivity_proxy_pct,4473,0.589172813487882
competition_ratio,2524,0.33245521601685984
admission_yield_ratio,2524,0.33245521601685984
admit_per_applicant_ratio,2523,0.33232349841938885
employment_rate_pct,1992,0.2623814541622761
health_employment_rate_pct,1992,0.2623814541622761
progression_rate_pct,1918,0.25263435194942047
vocational_college_progression_rate_pct,1918,0.25263435194942047
university_progression_rate_pct,1918,0.25263435194942047
domestic_progression_rate_pct,1918,0.25263435194942047
overseas_progression_rate_pct,1918,0.25263435194942047
graduate_school_progression_rate_pct,1918,0.25263435194942047
student_faculty_ratio,1595,0.21008956796628028
fulltime_faculty_share_pct,1595,0.21008956796628028
leave_rate_pct,33,0.00434668071654373
international_student_share_pct,33,0.00434668071654373
female_student_share_pct,33,0.00434668071654373
campus_seq,0,0.0
dept_field_raw,0,0.0
dept_name_std,0,0.0
dept_name_raw,0,0.0
campus_name_std_x,0,0.0
campus_branch,0,0.0
f_rate_pct,0,0.0
has_selectivity,0,0.0
has_employment,0,0.0
has_progression,0,0.0
rate_range_qa,0,0.0
source_file,0,0.0
source_sha256,0,0.0
campus_region_raw,0,0.0
dept_norm_strict,0,0.0
campus_name_raw_x,0,0.0
school_name_std,0,0.0
school_name_base_raw,0,0.0
cd_rate_pct,0,0.0
credit_forfeit_flag,0,0.0
a_rate_pct,0,0.0
dept_field_std,0,0.0
analysis_year,0,0.0
school_name_raw,0,0.0
outcome_row_id,0,0.0
review_needed,0,0.0
candidate_count,0,0.0
match_score,0,0.0
match_status,0,0.0
match_method,0,0.0
match_stage,0,0.0
