target_column,split,major_group_7,rows,missing_n,non_null_n,missing_rate
a_rate_pct,test,ART,226,0,226,0.0
a_rate_pct,test,EDU,80,0,80,0.0
a_rate_pct,test,ENG,297,0,297,0.0
a_rate_pct,test,HUM,96,0,96,0.0
a_rate_pct,test,MED,91,0,91,0.0
a_rate_pct,test,NAT,108,0,108,0.0
a_rate_pct,test,SOC,280,0,280,0.0
a_rate_pct,test,,21,0,21,0.0
a_rate_pct,train,ART,1092,0,1092,0.0
a_rate_pct,train,EDU,543,0,543,0.0
a_rate_pct,train,ENG,1957,0,1957,0.0
a_rate_pct,train,HUM,864,0,864,0.0
a_rate_pct,train,MED,424,0,424,0.0
a_rate_pct,train,NAT,964,0,964,0.0
a_rate_pct,train,SOC,1573,0,1573,0.0
a_rate_pct,train,,112,0,112,0.0
a_rate_pct,val,ART,248,0,248,0.0
a_rate_pct,val,EDU,105,0,105,0.0
a_rate_pct,val,ENG,388,0,388,0.0
a_rate_pct,val,HUM,148,0,148,0.0
a_rate_pct,val,MED,117,0,117,0.0
a_rate_pct,val,NAT,186,0,186,0.0
a_rate_pct,val,SOC,312,0,312,0.0
a_rate_pct,val,,10,0,10,0.0
selectivity_proxy_pct,test,ART,226,168,58,0.7433628318584071
selectivity_proxy_pct,test,EDU,80,51,29,0.6375
selectivity_proxy_pct,test,ENG,297,205,92,0.6902356902356902
selectivity_proxy_pct,test,HUM,96,56,40,0.5833333333333334
selectivity_proxy_pct,test,MED,91,61,30,0.6703296703296703
selectivity_proxy_pct,test,NAT,108,68,40,0.6296296296296297
selectivity_proxy_pct,test,SOC,280,207,73,0.7392857142857143
selectivity_proxy_pct,test,,21,19,2,0.9047619047619048
selectivity_proxy_pct,train,ART,1092,844,248,0.7728937728937729
selectivity_proxy_pct,train,EDU,543,245,298,0.45119705340699817
selectivity_proxy_pct,train,ENG,1957,1208,749,0.6172713336739908
selectivity_proxy_pct,train,HUM,864,565,299,0.6539351851851852
selectivity_proxy_pct,train,MED,424,198,226,0.4669811320754717
selectivity_proxy_pct,train,NAT,964,547,417,0.5674273858921162
selectivity_proxy_pct,train,SOC,1573,1050,523,0.6675143038779402
selectivity_proxy_pct,train,,112,85,27,0.7589285714285714
selectivity_proxy_pct,val,ART,248,203,45,0.8185483870967742
selectivity_proxy_pct,val,EDU,105,53,52,0.5047619047619047
selectivity_proxy_pct,val,ENG,388,229,159,0.5902061855670103
selectivity_proxy_pct,val,HUM,148,81,67,0.5472972972972973
selectivity_proxy_pct,val,MED,117,64,53,0.5470085470085471
selectivity_proxy_pct,val,NAT,186,114,72,0.6129032258064516
