outcome_row_id,school_name_raw,campus_name_raw_x,dept_name_raw,school_uid,campus_uid,dept_uid,match_method,candidate_count
OC2024_01602,고려대학교,,경영학과,SCH_2bbd7221f5f5,CAM_32d9fdbd724b,DEP_608b06fc070c,exact_strict,1
OC2024_01603,고려대학교,,경제학과,SCH_2bbd7221f5f5,CAM_32d9fdbd724b,DEP_69e8462a106a,exact_strict,1
OC2024_01606,고려대학교,,국어국문학과,SCH_2bbd7221f5f5,CAM_32d9fdbd724b,DEP_5775880d8f88,exact_strict,1
OC2024_01626,고려대학교,,사회학과,SCH_2bbd7221f5f5,CAM_32d9fdbd724b,DEP_01160bffef8e,exact_strict,1
OC2024_01632,고려대학교,,수학과,SCH_2bbd7221f5f5,CAM_32d9fdbd724b,DEP_6646d76a3796,exact_strict,1
OC2024_01643,고려대학교,,영어영문학과,SCH_2bbd7221f5f5,CAM_32d9fdbd724b,DEP_dffa1a933d14,exact_strict,1
OC2024_01665,고려대학교(세종)_분교,분교|세종,경영학부,SCH_2bbd7221f5f5,CAM_32d9fdbd724b,DEP_608b06fc070c,exact_token_unique,1
OC2024_01667,고려대학교(세종)_분교,분교|세종,경제학과,SCH_2bbd7221f5f5,CAM_32d9fdbd724b,DEP_69e8462a106a,exact_strict,1
OC2024_01675,고려대학교(세종)_분교,분교|세종,국어국문학과,SCH_2bbd7221f5f5,CAM_32d9fdbd724b,DEP_5775880d8f88,exact_strict,1
OC2024_01696,고려대학교(세종)_분교,분교|세종,사회학과,SCH_2bbd7221f5f5,CAM_32d9fdbd724b,DEP_01160bffef8e,exact_strict,1
OC2024_01698,고려대학교(세종)_분교,분교|세종,수학과,SCH_2bbd7221f5f5,CAM_32d9fdbd724b,DEP_6646d76a3796,exact_strict,1
OC2024_01706,고려대학교(세종)_분교,분교|세종,영어영문학과,SCH_2bbd7221f5f5,CAM_32d9fdbd724b,DEP_dffa1a933d14,exact_strict,1
OC2024_03092,단국대학교_제2캠퍼스,제2캠퍼스,뉴뮤직학부,SCH_8444343be410,CAM_f17fd86f306c,DEP_0e4cb5dc34e5,exact_token_unique,1
OC2024_03093,단국대학교_제2캠퍼스,제2캠퍼스,뉴뮤직과,SCH_8444343be410,CAM_f17fd86f306c,DEP_0e4cb5dc34e5,exact_strict,1
OC2024_06699,연세대학교,,경영학과,SCH_8c0fe037a811,CAM_cd6488ffd347,DEP_93160d823e93,exact_strict,1
OC2024_06701,연세대학교,,경제학전공,SCH_8c0fe037a811,CAM_cd6488ffd347,DEP_6c08d0a64880,exact_strict,1
OC2024_06708,연세대학교,,국어국문학과,SCH_8c0fe037a811,CAM_cd6488ffd347,DEP_40fc3d69b657,exact_strict,1
OC2024_06719,연세대학교,,문화・미디어전공,SCH_8c0fe037a811,CAM_367571cb81eb,DEP_b18217983866,manual_pending,2
OC2024_06721,연세대학교,,문화미디어전공,SCH_8c0fe037a811,CAM_367571cb81eb,DEP_b18217983866,manual_pending,2
OC2024_06740,연세대학교,,수학과,SCH_8c0fe037a811,CAM_cd6488ffd347,DEP_f35d2a4b373a,exact_strict,1
OC2024_06767,연세대학교,,의학과,SCH_8c0fe037a811,CAM_cd6488ffd347,DEP_bacbfde4e8ca,exact_strict,1
OC2024_06769,연세대학교,,의예과,SCH_8c0fe037a811,CAM_cd6488ffd347,DEP_31efbd40bac2,exact_strict,1
OC2024_06783,연세대학교,,철학과,SCH_8c0fe037a811,CAM_cd6488ffd347,DEP_b7d3235210f4,exact_strict,1
OC2024_06801,연세대학교(미래)_분교,분교|미래,경영학부,SCH_8c0fe037a811,CAM_cd6488ffd347,DEP_93160d823e93,exact_token_unique,1
OC2024_06803,연세대학교(미래)_분교,분교|미래,경제학전공,SCH_8c0fe037a811,CAM_cd6488ffd347,DEP_6c08d0a64880,exact_strict,1
OC2024_06804,연세대학교(미래)_분교,분교|미래,국어국문학과,SCH_8c0fe037a811,CAM_cd6488ffd347,DEP_40fc3d69b657,exact_strict,1
OC2024_06831,연세대학교(미래)_분교,분교|미래,수학전공,SCH_8c0fe037a811,CAM_cd6488ffd347,DEP_f35d2a4b373a,exact_token_unique,1
OC2024_06837,연세대학교(미래)_분교,분교|미래,의학과,SCH_8c0fe037a811,CAM_cd6488ffd347,DEP_bacbfde4e8ca,exact_strict,1
OC2024_06841,연세대학교(미래)_분교,분교|미래,의예과,SCH_8c0fe037a811,CAM_cd6488ffd347,DEP_31efbd40bac2,exact_strict,1
OC2024_06846,연세대학교(미래)_분교,분교|미래,철학전공,SCH_8c0fe037a811,CAM_cd6488ffd347,DEP_b7d3235210f4,exact_token_unique,1
OC2024_07093,우석대학교,,건축・인테리어디자인학과,SCH_a70179c6531f,CAM_43df7208b37c,DEP_a6fa296a6e7e,manual_pending,2
OC2024_07094,우석대학교,,건축인테리어디자인학과,SCH_a70179c6531f,CAM_43df7208b37c,DEP_a6fa296a6e7e,manual_pending,2
OC2024_08822,충남대학교,,미생물・분자생명과학과,SCH_822e5c0ba179,CAM_b3984d1a9914,DEP_eb13903b31fd,manual_pending,2
OC2024_08823,충남대학교,,미생물분자생명과학과,SCH_822e5c0ba179,CAM_b3984d1a9914,DEP_eb13903b31fd,manual_pending,2
OC2024_09486,한남대학교,,토목・환경공학전공,SCH_b87e76b8f78a,CAM_f1cc66bf9cca,DEP_1e8ebec67414,manual_pending,3
OC2024_09487,한남대학교,,토목환경공학전공,SCH_b87e76b8f78a,CAM_f1cc66bf9cca,DEP_1e8ebec67414,manual_pending,3
