preprocessor,transformed_feature_index,transformed_feature
linear_scaled,0,num__admission_capacity_n
linear_scaled,1,num__recruitment_n
linear_scaled,2,num__applicants_n
linear_scaled,3,num__admits_n
linear_scaled,4,num__enrolled_students_n
linear_scaled,5,num__graduates_n
linear_scaled,6,num__fulltime_faculty_n
linear_scaled,7,num__nonfulltime_faculty_n
linear_scaled,8,num__competition_ratio
linear_scaled,9,num__admission_yield_ratio
linear_scaled,10,num__admit_per_applicant_ratio
linear_scaled,11,num__female_student_share_pct
linear_scaled,12,num__international_student_share_pct
linear_scaled,13,num__student_faculty_ratio
linear_scaled,14,num__fulltime_faculty_share_pct
linear_scaled,15,num__log_enrolled_students
linear_scaled,16,num__log_graduates
linear_scaled,17,num__has_selectivity
linear_scaled,18,num__selectivity_proxy_pct
linear_scaled,19,num__has_major_group_7_high_medium
linear_scaled,20,num__ctx24_reference_sample_n
linear_scaled,21,num__ctx24_mean_income_10kkrw
linear_scaled,22,num__ctx24_median_income_10kkrw
linear_scaled,23,num__ctx24_income_300plus_pct
linear_scaled,24,num__ctx24_income_400plus_pct
linear_scaled,25,num__ctx24_large_company_pct
linear_scaled,26,num__ctx24_mid_company_pct
linear_scaled,27,num__ctx24_small_company_pct
linear_scaled,28,num__ctx24_large_mid_company_pct
linear_scaled,29,num__ctx24_public_nonprofit_pct
linear_scaled,30,num__ctx24_cert_rate_pct
linear_scaled,31,num__ctx24_cert_per_person
linear_scaled,32,num__ctx24_log10_mean_income
linear_scaled,33,num__goms_recent_employment_rate_pct
linear_scaled,34,num__goms_recent_firm_300plus_pct
linear_scaled,35,num__goms_recent_public_nonprofit_pct
linear_scaled,36,num__goms_recent_permanent_pct
linear_scaled,37,num__goms_recent_unstable_pct
linear_scaled,38,num__goms_recent_self_employed_pct
linear_scaled,39,num__goms_recent_industry_hhi
linear_scaled,40,num__goms_recent_industry_top3_pct
linear_scaled,41,num__goms_recent_professional_highskill_pct
linear_scaled,42,num__goms_recent_mean_income_10kkrw
linear_scaled,43,num__goms_recent_weekly_work_hours
linear_scaled,44,num__goms_recent_hourly_income_proxy
linear_scaled,45,num__goms_income_trend_per_year
linear_scaled,46,num__goms_hours_trend_per_year
linear_scaled,47,num__goms_firm_300plus_trend_per_year
linear_scaled,48,num__goms_permanent_trend_per_year
linear_scaled,49,num__goms_latest_2019_mean_income_10kkrw
linear_scaled,50,num__goms_latest_2019_weekly_work_hours
linear_scaled,51,num__goms_latest_2019_firm_300plus_pct
linear_scaled,52,num__goms_latest_2019_permanent_pct
linear_scaled,53,num__missingindicator_admission_capacity_n
linear_scaled,54,num__missingindicator_recruitment_n
linear_scaled,55,num__missingindicator_applicants_n
linear_scaled,56,num__missingindicator_admits_n
linear_scaled,57,num__missingindicator_enrolled_students_n
linear_scaled,58,num__missingindicator_graduates_n
linear_scaled,59,num__missingindicator_fulltime_faculty_n
linear_scaled,60,num__missingindicator_nonfulltime_faculty_n
linear_scaled,61,num__missingindicator_competition_ratio
linear_scaled,62,num__missingindicator_admission_yield_ratio
linear_scaled,63,num__missingindicator_admit_per_applicant_ratio
linear_scaled,64,num__missingindicator_female_student_share_pct
linear_scaled,65,num__missingindicator_international_student_share_pct
linear_scaled,66,num__missingindicator_student_faculty_ratio
linear_scaled,67,num__missingindicator_fulltime_faculty_share_pct
linear_scaled,68,num__missingindicator_log_enrolled_students
linear_scaled,69,num__missingindicator_log_graduates
linear_scaled,70,num__missingindicator_selectivity_proxy_pct
linear_scaled,71,num__missingindicator_ctx24_reference_sample_n
linear_scaled,72,num__missingindicator_ctx24_mean_income_10kkrw
linear_scaled,73,num__missingindicator_ctx24_median_income_10kkrw
linear_scaled,74,num__missingindicator_ctx24_income_300plus_pct
linear_scaled,75,num__missingindicator_ctx24_income_400plus_pct
linear_scaled,76,num__missingindicator_ctx24_large_company_pct
linear_scaled,77,num__missingindicator_ctx24_mid_company_pct
linear_scaled,78,num__missingindicator_ctx24_small_company_pct
linear_scaled,79,num__missingindicator_ctx24_large_mid_company_pct
linear_scaled,80,num__missingindicator_ctx24_public_nonprofit_pct
linear_scaled,81,num__missingindicator_ctx24_cert_rate_pct
linear_scaled,82,num__missingindicator_ctx24_cert_per_person
linear_scaled,83,num__missingindicator_ctx24_log10_mean_income
linear_scaled,84,num__missingindicator_goms_recent_employment_rate_pct
linear_scaled,85,num__missingindicator_goms_recent_firm_300plus_pct
linear_scaled,86,num__missingindicator_goms_recent_public_nonprofit_pct
linear_scaled,87,num__missingindicator_goms_recent_permanent_pct
linear_scaled,88,num__missingindicator_goms_recent_unstable_pct
linear_scaled,89,num__missingindicator_goms_recent_self_employed_pct
