check,actual,status,expected,detail
D08_source_shape,10242x151,PASS,,
D08_source_sha256,598b68b31b5358dfd23839d4c138cc64838d05876b7791980b376c0453f29962,INFO,,
analysis_frame_shape_after_membership,10242x162,INFO,,
key_duplicate,18,FAIL,,
split_leakage_school,0,PASS,,
sample_N_GRADE_ALL,10099,PASS,10099.0,
sample_N_GRADE_SELECTIVITY,3707,PASS,3707.0,
sample_N_EMPLOYMENT_HEALTH,7389,PASS,7389.0,
sample_N_PROGRESSION_GRADSCHOOL,7498,PASS,7498.0,
sample_N_JOINT_EMP_PROG,7389,PASS,7389.0,
active_feature_count,120,PASS,,
active_all_null_feature_count,0,PASS,,
registry_coverage_active_features,120/198,PASS,,
