column,dtype_actual,semantic_role,feature_block,measurement_level,grain,unit,source_dataset,source_column,derivation_formula,null_policy,zero_policy,valid_min,valid_max,is_identifier,is_target_candidate,is_denominator,is_context,is_quality_metadata,model_default_active,review_required,notes
analysis_year,Int16,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,analysis_year,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,2024.0,2024.0,True,False,False,False,False,False,False,candidate_feature_or_context
outcome_row_id,str,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D02_v2,outcome_row_id,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,identifier_label_or_qa_metadata
school_name_raw,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,school_name_raw,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,identifier_label_or_qa_metadata
school_name_base_raw,string,feature_candidate,OTHER,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D02_v2,school_name_base_raw,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,False,False,False,True,Unclassified by source registry and local semantics; manual review required.
school_name_std,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,school_name_std,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,identifier_label_or_qa_metadata
campus_name_raw_x,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D03_v2,campus_name_raw_x,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,candidate_feature_or_context
campus_seq,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,campus_seq,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,True,False,True,False,candidate_feature_or_context
campus_branch,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,campus_branch,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,True,False,True,False,candidate_feature_or_context
campus_name_std_x,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D03_v2,campus_name_std_x,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,candidate_feature_or_context
dept_name_raw,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,dept_name_raw,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,identifier_label_or_qa_metadata
dept_name_std,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D02_v2,dept_name_std,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,identifier_label_or_qa_metadata
dept_field_raw,string,feature_candidate,OTHER,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D02_v2,dept_field_raw,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,False,False,False,True,Unclassified by source registry and local semantics; manual review required.
dept_field_std,string,feature_candidate,OTHER,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D02_v2,dept_field_std,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,False,False,False,True,Unclassified by source registry and local semantics; manual review required.
credit_forfeit_flag,boolean,policy_feature,POLICY,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,flag,D02_v2,credit_forfeit_flag,,feature candidate; impute only inside train-fitted preprocessing,False/0 is a valid category,0.0,1.0,False,False,False,True,False,True,False,candidate_feature_or_context
selectivity_proxy_pct,Float32,selectivity_feature,Q,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,selectivity_proxy_pct,,feature candidate; impute only inside train-fitted preprocessing,0 is valid if source definition allows; range audited,0.10000000149011612,100.0,False,True,False,True,False,False,False,target_candidate_not_feature
a_rate_pct,Float32,target_candidate_or_phase_signal,GRADE,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,a_rate_pct,,target candidate; null means target not observed for that phase,0 is valid if source definition allows; range audited,0.0,100.0,False,True,False,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
cd_rate_pct,Float32,target_candidate_or_phase_signal,GRADE,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,cd_rate_pct,,target candidate; null means target not observed for that phase,0 is valid if source definition allows; range audited,0.0,100.0,False,True,False,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
f_rate_pct,Float32,target_candidate_or_phase_signal,GRADE,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,f_rate_pct,,target candidate; null means target not observed for that phase,0 is valid if source definition allows; range audited,0.0,100.0,False,True,False,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
