sample_id,eligibility_expression,status,total_n,school_n,campus_n,major7_n,train_n,validation_n,test_n,with_structure_n,with_selectivity_n,count_ready_n,exclusion_n,exclusion_reasons,comparison_rule
GRADE_ALL,a_rate_pct.notna & has_major_group_7_high_medium,READY,10099,200,451,7,7417,1504,1178,8561,3707,0,143,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
GRADE_SELECTIVITY,GRADE_ALL & selectivity_proxy_pct.notna,READY,3707,151,291,7,2760,585,362,3198,3707,0,6535,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
EMPLOYMENT_HEALTH,health_employment_rate_pct.notna & has_major_group_7_high_medium,READY,7389,188,413,7,5428,1121,840,6270,2805,0,2853,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
PROGRESSION_GRADSCHOOL,graduate_school_progression_rate_pct.notna & has_major_group_7_high_medium,READY,7498,197,428,7,5499,1141,858,6366,2830,0,2744,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
JOINT_EMP_PROG,EMPLOYMENT_HEALTH & PROGRESSION_GRADSCHOOL,READY,7389,188,413,7,5428,1121,840,6270,2805,0,2853,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
GRADE_STRUCTURE,GRADE_ALL & has_structure_context,READY,8561,198,262,7,6302,1263,996,8561,3198,0,1681,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
GRADE_SELECTIVITY_STRUCTURE,GRADE_SELECTIVITY & has_structure_context,READY,3198,146,179,7,2355,522,321,3198,3198,0,7044,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
JOINT_EMP_PROG_STRUCTURE,JOINT_EMP_PROG & has_structure_context,READY,6270,186,243,7,4623,932,715,6270,2416,0,3972,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
JOINT_EMP_PROG_SELECTIVITY,JOINT_EMP_PROG & selectivity_proxy_pct.notna,READY,2805,138,260,7,2097,415,293,2416,2805,0,7437,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
P1_SIGNAL_ALIGNMENT_CORE,"a_rate_pct, health_employment_rate_pct, graduate_school_progression_rate_pct all observed",READY,7389,188,413,7,5428,1121,840,6270,2805,0,2853,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
P1_SIGNAL_ALIGNMENT_SELECTIVITY,P1_SIGNAL_ALIGNMENT_CORE & selectivity_proxy_pct.notna,READY,2805,138,260,7,2097,415,293,2416,2805,0,7437,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
P2_STRUCTURE_READY,GRADE_ALL & has_structure_context,READY,8561,198,262,7,6302,1263,996,8561,3198,0,1681,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
P2_SELECTIVITY_READY,GRADE_SELECTIVITY & has_structure_context,READY,3198,146,179,7,2355,522,321,3198,3198,0,7044,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
P3_STRUCTURE_READY,P2_STRUCTURE_READY,READY,8561,198,262,7,6302,1263,996,8561,3198,0,1681,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
P3_SELECTIVITY_READY,P2_SELECTIVITY_READY,READY,3198,146,179,7,2355,522,321,3198,3198,0,7044,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
P4_STRUCTURE_READY,(health employment or gradschool progression observed) & has_structure_context,READY,6366,195,255,7,4687,949,730,6366,2439,0,3876,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
P4_SELECTIVITY_READY,P4_STRUCTURE_READY & selectivity_proxy_pct.notna,READY,2439,136,165,7,1805,372,262,2439,2439,0,7803,missing required target/context/selectivity or major7 sample exclusion,Nested-model comparisons must stay within the same sample_id.
COUNT_RETENTION_READY,requires retained_k_n and denominator counts; not available,NOT_AVAILABLE,0,0,0,0,0,0,0,0,0,0,10242,count numerator/denominator not available,Nested-model comparisons must stay within the same sample_id.
COUNT_PROGRESSION_READY,requires progressor numerator and denominator counts; not available,NOT_AVAILABLE,0,0,0,0,0,0,0,0,0,0,10242,count numerator/denominator not available,Nested-model comparisons must stay within the same sample_id.
TYPE_READY,requires P3/P4 residual-derived type labels,PENDING_P3_P4,0,0,0,0,0,0,0,0,0,0,10242,pending residual/type labels,Nested-model comparisons must stay within the same sample_id.
PANEL_READY,requires 2023/2025 panel data,PENDING_2023_2025,0,0,0,0,0,0,0,0,0,0,10242,future/panel years not available,Nested-model comparisons must stay within the same sample_id.
