school_type,split,rows,sample_id
각종대학(대학),test,27,GRADE_ALL
각종대학(대학),train,2,GRADE_ALL
교육대학,test,14,GRADE_ALL
교육대학,train,87,GRADE_ALL
교육대학,val,22,GRADE_ALL
대학교,test,931,GRADE_ALL
대학교,train,6152,GRADE_ALL
대학교,val,1241,GRADE_ALL
방송통신대학교,train,27,GRADE_ALL
산업대학,test,24,GRADE_ALL
산업대학,train,34,GRADE_ALL
,test,182,GRADE_ALL
,train,1115,GRADE_ALL
,val,241,GRADE_ALL
교육대학,train,1,GRADE_SELECTIVITY
대학교,test,301,GRADE_SELECTIVITY
대학교,train,2352,GRADE_SELECTIVITY
대학교,val,522,GRADE_SELECTIVITY
산업대학,test,20,GRADE_SELECTIVITY
산업대학,train,2,GRADE_SELECTIVITY
,test,41,GRADE_SELECTIVITY
,train,405,GRADE_SELECTIVITY
,val,63,GRADE_SELECTIVITY
각종대학(대학),test,27,EMPLOYMENT_HEALTH
각종대학(대학),train,1,EMPLOYMENT_HEALTH
교육대학,test,14,EMPLOYMENT_HEALTH
교육대학,train,87,EMPLOYMENT_HEALTH
교육대학,val,22,EMPLOYMENT_HEALTH
대학교,test,656,EMPLOYMENT_HEALTH
대학교,train,4485,EMPLOYMENT_HEALTH
대학교,val,910,EMPLOYMENT_HEALTH
방송통신대학교,train,27,EMPLOYMENT_HEALTH
산업대학,test,18,EMPLOYMENT_HEALTH
산업대학,train,23,EMPLOYMENT_HEALTH
,test,125,EMPLOYMENT_HEALTH
,train,805,EMPLOYMENT_HEALTH
,val,189,EMPLOYMENT_HEALTH
각종대학(대학),test,27,PROGRESSION_GRADSCHOOL
각종대학(대학),train,2,PROGRESSION_GRADSCHOOL
교육대학,test,14,PROGRESSION_GRADSCHOOL
교육대학,train,87,PROGRESSION_GRADSCHOOL
교육대학,val,22,PROGRESSION_GRADSCHOOL
대학교,test,671,PROGRESSION_GRADSCHOOL
대학교,train,4548,PROGRESSION_GRADSCHOOL
대학교,val,927,PROGRESSION_GRADSCHOOL
방송통신대학교,train,27,PROGRESSION_GRADSCHOOL
산업대학,test,18,PROGRESSION_GRADSCHOOL
산업대학,train,23,PROGRESSION_GRADSCHOOL
,test,128,PROGRESSION_GRADSCHOOL
,train,812,PROGRESSION_GRADSCHOOL
,val,192,PROGRESSION_GRADSCHOOL
각종대학(대학),test,27,JOINT_EMP_PROG
각종대학(대학),train,1,JOINT_EMP_PROG
교육대학,test,14,JOINT_EMP_PROG
교육대학,train,87,JOINT_EMP_PROG
교육대학,val,22,JOINT_EMP_PROG
대학교,test,656,JOINT_EMP_PROG
대학교,train,4485,JOINT_EMP_PROG
대학교,val,910,JOINT_EMP_PROG
방송통신대학교,train,27,JOINT_EMP_PROG
산업대학,test,18,JOINT_EMP_PROG
산업대학,train,23,JOINT_EMP_PROG
,test,125,JOINT_EMP_PROG
,train,805,JOINT_EMP_PROG
,val,189,JOINT_EMP_PROG
각종대학(대학),test,27,GRADE_STRUCTURE
각종대학(대학),train,2,GRADE_STRUCTURE
교육대학,test,14,GRADE_STRUCTURE
교육대학,train,87,GRADE_STRUCTURE
교육대학,val,22,GRADE_STRUCTURE
대학교,test,931,GRADE_STRUCTURE
대학교,train,6152,GRADE_STRUCTURE
대학교,val,1241,GRADE_STRUCTURE
방송통신대학교,train,27,GRADE_STRUCTURE
산업대학,test,24,GRADE_STRUCTURE
산업대학,train,34,GRADE_STRUCTURE
교육대학,train,1,GRADE_SELECTIVITY_STRUCTURE
대학교,test,301,GRADE_SELECTIVITY_STRUCTURE
대학교,train,2352,GRADE_SELECTIVITY_STRUCTURE
대학교,val,522,GRADE_SELECTIVITY_STRUCTURE
산업대학,test,20,GRADE_SELECTIVITY_STRUCTURE
산업대학,train,2,GRADE_SELECTIVITY_STRUCTURE
각종대학(대학),test,27,JOINT_EMP_PROG_STRUCTURE
각종대학(대학),train,1,JOINT_EMP_PROG_STRUCTURE
교육대학,test,14,JOINT_EMP_PROG_STRUCTURE
교육대학,train,87,JOINT_EMP_PROG_STRUCTURE
교육대학,val,22,JOINT_EMP_PROG_STRUCTURE
대학교,test,656,JOINT_EMP_PROG_STRUCTURE
대학교,train,4485,JOINT_EMP_PROG_STRUCTURE
대학교,val,910,JOINT_EMP_PROG_STRUCTURE
방송통신대학교,train,27,JOINT_EMP_PROG_STRUCTURE
산업대학,test,18,JOINT_EMP_PROG_STRUCTURE
산업대학,train,23,JOINT_EMP_PROG_STRUCTURE
교육대학,train,1,JOINT_EMP_PROG_SELECTIVITY
대학교,test,244,JOINT_EMP_PROG_SELECTIVITY
대학교,train,1786,JOINT_EMP_PROG_SELECTIVITY
대학교,val,367,JOINT_EMP_PROG_SELECTIVITY
산업대학,test,16,JOINT_EMP_PROG_SELECTIVITY
산업대학,train,2,JOINT_EMP_PROG_SELECTIVITY
,test,33,JOINT_EMP_PROG_SELECTIVITY
,train,308,JOINT_EMP_PROG_SELECTIVITY
,val,48,JOINT_EMP_PROG_SELECTIVITY
각종대학(대학),test,27,P1_SIGNAL_ALIGNMENT_CORE
각종대학(대학),train,1,P1_SIGNAL_ALIGNMENT_CORE
교육대학,test,14,P1_SIGNAL_ALIGNMENT_CORE
교육대학,train,87,P1_SIGNAL_ALIGNMENT_CORE
교육대학,val,22,P1_SIGNAL_ALIGNMENT_CORE
대학교,test,656,P1_SIGNAL_ALIGNMENT_CORE
대학교,train,4485,P1_SIGNAL_ALIGNMENT_CORE
대학교,val,910,P1_SIGNAL_ALIGNMENT_CORE
방송통신대학교,train,27,P1_SIGNAL_ALIGNMENT_CORE
산업대학,test,18,P1_SIGNAL_ALIGNMENT_CORE
산업대학,train,23,P1_SIGNAL_ALIGNMENT_CORE
,test,125,P1_SIGNAL_ALIGNMENT_CORE
,train,805,P1_SIGNAL_ALIGNMENT_CORE
,val,189,P1_SIGNAL_ALIGNMENT_CORE
교육대학,train,1,P1_SIGNAL_ALIGNMENT_SELECTIVITY
대학교,test,244,P1_SIGNAL_ALIGNMENT_SELECTIVITY
대학교,train,1786,P1_SIGNAL_ALIGNMENT_SELECTIVITY
대학교,val,367,P1_SIGNAL_ALIGNMENT_SELECTIVITY
산업대학,test,16,P1_SIGNAL_ALIGNMENT_SELECTIVITY
산업대학,train,2,P1_SIGNAL_ALIGNMENT_SELECTIVITY
,test,33,P1_SIGNAL_ALIGNMENT_SELECTIVITY
,train,308,P1_SIGNAL_ALIGNMENT_SELECTIVITY
,val,48,P1_SIGNAL_ALIGNMENT_SELECTIVITY
각종대학(대학),test,27,P2_STRUCTURE_READY
각종대학(대학),train,2,P2_STRUCTURE_READY
교육대학,test,14,P2_STRUCTURE_READY
교육대학,train,87,P2_STRUCTURE_READY
교육대학,val,22,P2_STRUCTURE_READY
대학교,test,931,P2_STRUCTURE_READY
대학교,train,6152,P2_STRUCTURE_READY
대학교,val,1241,P2_STRUCTURE_READY
방송통신대학교,train,27,P2_STRUCTURE_READY
산업대학,test,24,P2_STRUCTURE_READY
산업대학,train,34,P2_STRUCTURE_READY
교육대학,train,1,P2_SELECTIVITY_READY
대학교,test,301,P2_SELECTIVITY_READY
대학교,train,2352,P2_SELECTIVITY_READY
대학교,val,522,P2_SELECTIVITY_READY
산업대학,test,20,P2_SELECTIVITY_READY
산업대학,train,2,P2_SELECTIVITY_READY
각종대학(대학),test,27,P3_STRUCTURE_READY
각종대학(대학),train,2,P3_STRUCTURE_READY
교육대학,test,14,P3_STRUCTURE_READY
교육대학,train,87,P3_STRUCTURE_READY
교육대학,val,22,P3_STRUCTURE_READY
대학교,test,931,P3_STRUCTURE_READY
대학교,train,6152,P3_STRUCTURE_READY
대학교,val,1241,P3_STRUCTURE_READY
방송통신대학교,train,27,P3_STRUCTURE_READY
산업대학,test,24,P3_STRUCTURE_READY
산업대학,train,34,P3_STRUCTURE_READY
교육대학,train,1,P3_SELECTIVITY_READY
대학교,test,301,P3_SELECTIVITY_READY
대학교,train,2352,P3_SELECTIVITY_READY
대학교,val,522,P3_SELECTIVITY_READY
산업대학,test,20,P3_SELECTIVITY_READY
산업대학,train,2,P3_SELECTIVITY_READY
각종대학(대학),test,27,P4_STRUCTURE_READY
각종대학(대학),train,2,P4_STRUCTURE_READY
교육대학,test,14,P4_STRUCTURE_READY
교육대학,train,87,P4_STRUCTURE_READY
교육대학,val,22,P4_STRUCTURE_READY
대학교,test,671,P4_STRUCTURE_READY
대학교,train,4548,P4_STRUCTURE_READY
대학교,val,927,P4_STRUCTURE_READY
방송통신대학교,train,27,P4_STRUCTURE_READY
산업대학,test,18,P4_STRUCTURE_READY
산업대학,train,23,P4_STRUCTURE_READY
교육대학,train,1,P4_SELECTIVITY_READY
대학교,test,246,P4_SELECTIVITY_READY
대학교,train,1802,P4_SELECTIVITY_READY
대학교,val,372,P4_SELECTIVITY_READY
산업대학,test,16,P4_SELECTIVITY_READY
산업대학,train,2,P4_SELECTIVITY_READY
