family,actual_column,source,grain,dtype,non_null_n,zero_n,min,max,semantic_evidence,numerator_or_denominator,usable_for_count_model,usage_note
EMPLOYMENT,employment_rate_pct,D08,source_native,Float32,7477.0,78.0,0.0,100.0,D08 column name matched: employment_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
EMPLOYMENT,health_employment_rate_pct,D08,source_native,Float32,7477.0,136.0,0.0,100.0,D08 column name matched: health_employment_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,progression_rate_pct,D08,source_native,Float32,7587.0,3098.0,0.0,100.0,D08 column name matched: progression_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,vocational_college_progression_rate_pct,D08,source_native,Float32,7587.0,7339.0,0.0,50.0,D08 column name matched: vocational_college_progression_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,university_progression_rate_pct,D08,source_native,Float32,7587.0,7077.0,0.0,25.0,D08 column name matched: university_progression_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,graduate_school_progression_rate_pct,D08,source_native,Float32,7587.0,3343.0,0.0,100.0,D08 column name matched: graduate_school_progression_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,domestic_progression_rate_pct,D08,source_native,Float32,7587.0,3119.0,0.0,100.0,D08 column name matched: domestic_progression_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,overseas_progression_rate_pct,D08,source_native,Float32,7587.0,7406.0,0.0,18.18181800842285,D08 column name matched: overseas_progression_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
EMPLOYMENT,has_employment,D08,source_native,boolean,10242.0,2765.0,0.0,1.0,D08 column name matched: has_employment,semantic_candidate,False,Candidate count only; not sufficient by itself.
PROGRESSION,has_progression,D08,source_native,boolean,10242.0,2655.0,0.0,1.0,D08 column name matched: has_progression,semantic_candidate,False,Candidate count only; not sufficient by itself.
PROGRESSION,graduates_n,D08,source_native,Int32,8561.0,2130.0,0.0,3259.0,"D08 column name matched: graduates_n; structural headcount graduate count, not contracted as progression-rate denominator",candidate_denominator_or_count,False,Candidate count only; not sufficient by itself.
PROGRESSION,log_graduates,D08,source_native,Float32,8561.0,2130.0,0.0,8.089482307434082,D08 column name matched: log_graduates,candidate_denominator_or_count,False,Candidate count only; not sufficient by itself.
EMPLOYMENT,goms_recent_employment_rate_pct,D08,source_native,Float32,10099.0,0.0,64.40062713623047,83.63194274902344,D08 column name matched: goms_recent_employment_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
EMPLOYMENT,goms_recent_self_employed_pct,D08,source_native,Float32,10099.0,0.0,1.1710143089294434,10.322768211364746,D08 column name matched: goms_recent_self_employed_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
