sample_id,row_n,school_n,campus_n,major7_n,train_n,validation_n,test_n,excluded_conflict_n,strict_clean_base_n,row_id_hash,status
P1_STRUCTURE_READY,5600,185,242,7,4080,871,649,0,7592,3f7f76bc4e1a9680052b996b012021d36ccf3374fa182f0140a97d7c507f4192,READY
P1_SELECTIVITY_READY,2355,130,159,7,1742,360,253,0,7592,6004094369f652f75ce961f0c9442a9598f5d80855150c03efdff1c5c53ea5bd,READY
P2_STRUCTURE_READY,7592,197,261,7,5534,1168,890,0,7592,2e3fb7557ee894b50542591376211ec84817501cd7b4122ae529914192741af4,READY
P2_SELECTIVITY_READY,3119,146,179,7,2293,514,312,0,7592,1a0e36bb24d7e7f894897503bf0baf2c36f9b8710978b9fc7d4b818b242c4924,READY
P3_STRUCTURE_READY,7592,197,261,7,5534,1168,890,0,7592,2e3fb7557ee894b50542591376211ec84817501cd7b4122ae529914192741af4,READY
P3_SELECTIVITY_READY,3119,146,179,7,2293,514,312,0,7592,1a0e36bb24d7e7f894897503bf0baf2c36f9b8710978b9fc7d4b818b242c4924,READY
P4_E_STRUCTURE_READY,5600,185,242,7,4080,871,649,0,7592,3f7f76bc4e1a9680052b996b012021d36ccf3374fa182f0140a97d7c507f4192,READY
P4_P_STRUCTURE_READY,5674,194,254,7,4129,884,661,0,7592,6625f4fcb391ac2e7d9a3001be72425a2dd4f0f6e03ef4d8bbf3f577d08a8b2e,READY
P4_JOINT_STRUCTURE_READY,5600,185,242,7,4080,871,649,0,7592,3f7f76bc4e1a9680052b996b012021d36ccf3374fa182f0140a97d7c507f4192,READY
P4_E_SELECTIVITY_READY,2355,130,159,7,1742,360,253,0,7592,6004094369f652f75ce961f0c9442a9598f5d80855150c03efdff1c5c53ea5bd,READY
P4_P_SELECTIVITY_READY,2376,136,165,7,1756,365,255,0,7592,4dc6b34a126c95a9e66e2c6de130d4b7e2a129f9cf39dc8a4bfe8dd81d4ebf28,READY
P4_JOINT_SELECTIVITY_READY,2355,130,159,7,1742,360,253,0,7592,6004094369f652f75ce961f0c9442a9598f5d80855150c03efdff1c5c53ea5bd,READY
