column,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max,missing_n,missing_pct,zero_n,zero_pct,negative_n,inf_n,nunique
iteration,3.0,2.0,1.0,1.0,1.02,1.1,1.2,1.5,2.0,2.5,2.8,2.9,2.98,3.0,0,0.0,0,0.0,0,0,3
school_resample_n,3.0,186.0,0.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,0,0.0,0,0.0,0,0,1
unique_school_n,3.0,119.0,3.0,116.0,116.06,116.3,116.6,117.5,119.0,120.5,121.4,121.7,121.94,122.0,0,0.0,0,0.0,0,0,3
bootstrap_row_n,3.0,6478.333333333333,190.28750177910618,6271.0,6275.96,6295.8,6320.6,6395.0,6519.0,6582.0,6619.8,6632.4,6642.48,6645.0,0,0.0,0,0.0,0,0,3
p3_crossfit_prediction_n,3.0,6478.333333333333,190.28750177910618,6271.0,6275.96,6295.8,6320.6,6395.0,6519.0,6582.0,6619.8,6632.4,6642.48,6645.0,0,0.0,0,0.0,0,0,3
p3_crossfit_nan_n,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,100.0,0,0,1
p4_e_fit_n,3.0,6478.333333333333,190.28750177910618,6271.0,6275.96,6295.8,6320.6,6395.0,6519.0,6582.0,6619.8,6632.4,6642.48,6645.0,0,0.0,0,0.0,0,0,3
p4_p_fit_n,3.0,6478.333333333333,190.28750177910618,6271.0,6275.96,6295.8,6320.6,6395.0,6519.0,6582.0,6619.8,6632.4,6642.48,6645.0,0,0.0,0,0.0,0,0,3
p4_e_rmse_in_boot_smoke,3.0,17.351868088210963,0.04964417041253199,17.32241164509775,17.32244356797013,17.32257125945966,17.32273087382157,17.323209716907304,17.32400778871686,17.366596309767573,17.392149422398,17.40066712660814,17.407481289976253,17.409184830818283,0,0.0,0,0.0,0,0,3
p4_p_rmse_in_boot_smoke,3.0,10.447222605154067,0.3609356829483067,10.099755056451666,10.106192892040518,10.131944234395927,10.16413341234019,10.260700946172975,10.421646835894284,10.62095637950527,10.740542105671858,10.780404014394056,10.812293541371814,10.820265923116253,0,0.0,0,0.0,0,0,3
