column,dtype,count,missing_n,missing_pct,nunique,top,freq,top_pct,sample_values
outcome_row_id,str,10242,0,0.0,10242,OC2024_00001,1,0.009763718023823472,OC2024_00001 | OC2024_00002 | OC2024_00003 | OC2024_00004 | OC2024_00005
school_uid,str,10242,0,0.0,200,SCH_193517d15ce2,217,2.1187268111696933,SCH_4fcb5ca730cd | SCH_e46f0f22fdd7 | SCH_f0a7062f14b7 | SCH_11568cc95743 | SCH_f11056a7ff4e
campus_uid,string,10242,0,0.0,452,CAM_f6396906ee8f,131,1.2790470611208749,CAM_60c4060f5f80 | CAM_40d7469e00a5 | CAM_aac084de6912 | CAM_6f177c7e5a77 | CAM_2ed1e6c2a9e7
dept_uid,string,10242,0,0.0,10222,DEP_608b06fc070c,2,0.019527436047646944,DEP_c02dd4a5678d | DEP_e99f4ff43785 | DEP_fca11c7fd249 | DEP_4746d0bda0b9 | DEP_90eb7f613e75
major_group_7,str,10099,143,1.3962116774067566,7,ENG,2642,25.795743018941614,MED | SOC | ART | NAT | EDU
school_type,string,8561,1681,16.412809998047255,5,대학교,8324,81.27318883030658,대학교 | 교육대학 | 각종대학(대학) | 산업대학 | 방송통신대학교
region_sido,string,8561,1681,16.412809998047255,17,서울,1629,15.905096660808434,경남 | 인천 | 경기 | 강원 | 충북
split,str,10242,0,0.0,3,train,7529,73.51103300136693,train | test | val
sample_P1_STRUCTURE_READY,bool,10242,0,0.0,2,True,6270,61.21851200937317,True | False
sample_P1_SELECTIVITY_READY,bool,10242,0,0.0,2,False,7826,76.41085725444249,True | False
sample_P2_STRUCTURE_READY,bool,10242,0,0.0,2,True,8561,83.58719000195273,True | False
sample_P2_SELECTIVITY_READY,bool,10242,0,0.0,2,False,7044,68.77562975981255,True | False
sample_P3_STRUCTURE_READY,bool,10242,0,0.0,2,True,8561,83.58719000195273,True | False
sample_P3_SELECTIVITY_READY,bool,10242,0,0.0,2,False,7044,68.77562975981255,True | False
sample_P4_E_STRUCTURE_READY,bool,10242,0,0.0,2,True,6270,61.21851200937317,True | False
sample_P4_P_STRUCTURE_READY,bool,10242,0,0.0,2,True,6366,62.15582893966022,True | False
sample_P4_JOINT_STRUCTURE_READY,bool,10242,0,0.0,2,True,6270,61.21851200937317,True | False
sample_P4_E_SELECTIVITY_READY,bool,10242,0,0.0,2,False,7826,76.41085725444249,True | False
sample_P4_P_SELECTIVITY_READY,bool,10242,0,0.0,2,False,7803,76.18629173989456,True | False
sample_P4_JOINT_SELECTIVITY_READY,bool,10242,0,0.0,2,False,7826,76.41085725444249,True | False
