position,column,dtype,non_null_n,missing_n,missing_pct,nunique,unique_ratio,is_all_null,is_constant,is_identifier_candidate,top_value_share
1,outcome_row_id,str,10242,0,0.0,10242,1.0,False,False,True,9.763718023823472e-05
2,analysis_year,Int16,10242,0,0.0,1,9.763718023823472e-05,False,True,False,1.0
3,school_uid,str,10242,0,0.0,200,0.019527436047646944,False,False,True,0.021187268111696935
4,campus_uid,string,10242,0,0.0,452,0.044132005467682096,False,False,True,0.012790470611208749
5,dept_uid,string,10242,0,0.0,10222,0.9980472563952353,False,False,True,0.00019527436047646945
6,major_group_7,str,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
7,school_type,string,8561,1681,16.412809998047255,5,0.0005840439201027917,False,False,False,0.8127318883030658
8,region_sido,string,8561,1681,16.412809998047255,17,0.001985749328349492,False,False,True,0.16412809998047256
9,split,str,10242,0,0.0,3,0.00029291154071470416,False,False,False,0.7351103300136692
10,sample_P1_STRUCTURE_READY,bool,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.6121851200937317
11,sample_P1_SELECTIVITY_READY,bool,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.7641085725444249
12,sample_P2_STRUCTURE_READY,bool,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.8358719000195274
13,sample_P2_SELECTIVITY_READY,bool,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.6877562975981254
14,sample_P3_STRUCTURE_READY,bool,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.8358719000195274
15,sample_P3_SELECTIVITY_READY,bool,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.6877562975981254
16,sample_P4_E_STRUCTURE_READY,bool,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.6121851200937317
17,sample_P4_P_STRUCTURE_READY,bool,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.6215582893966022
18,sample_P4_JOINT_STRUCTURE_READY,bool,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.6121851200937317
19,sample_P4_E_SELECTIVITY_READY,bool,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.7641085725444249
20,sample_P4_P_SELECTIVITY_READY,bool,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.7618629173989455
21,sample_P4_JOINT_SELECTIVITY_READY,bool,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.7641085725444249
