column,registry_role,feature_block,measurement_level,actual_dtype,expected_dtype,nullable,non_null_n,missing_n,missing_pct,unique_n,min,p01,median,p99,max,example_values,coercion_failure_n,infinite_n,all_null,constant,near_constant,status
analysis_year,identifier_or_label,K,department,Int16,Int16,False,10242,0,0.0,1,2024.0,2024.0,2024.0,2024.0,2024.0,2024,0,0,False,True,False,WARN
outcome_row_id,identifier_or_label,K,department,str,str,False,10242,0,0.0,10242,,,,,,OC2024_00001|OC2024_00002|OC2024_00003|OC2024_00004|OC2024_00005,0,0,False,False,False,PASS
school_name_raw,identifier_or_label,K,department,string,string,False,10242,0,0.0,227,,,,,,가야대학교(김해)|가천대학교|가톨릭관동대학교|가톨릭꽃동네대학교|가톨릭대학교,0,0,False,False,False,PASS
school_name_base_raw,identifier_or_label,K,department,string,string,False,10242,0,0.0,200,,,,,,가야대학교|가천대학교|가톨릭관동대학교|가톨릭꽃동네대학교|가톨릭대학교,0,0,False,False,False,PASS
school_name_std,identifier_or_label,K,department,string,string,False,10242,0,0.0,200,,,,,,가야대학교|가천대학교|가톨릭관동대학교|가톨릭꽃동네대학교|가톨릭대학교,0,0,False,False,False,PASS
campus_name_raw_x,identifier_or_label,K,department,string,string,False,10242,0,0.0,12,,,,,,김해||제2캠퍼스|제3캠퍼스|분교|글로컬,0,0,False,False,False,PASS
campus_seq,stratification_feature,S0,school_department,string,string,False,10242,0,0.0,4,,,,,,|제2캠퍼스|제3캠퍼스|제4캠퍼스,0,0,False,False,False,PASS
campus_branch,stratification_feature,S0,school_department,string,string,False,10242,0,0.0,2,,,,,,|분교,0,0,False,False,False,PASS
campus_name_std_x,identifier_or_label,K,department,string,string,False,10242,0,0.0,5,,,,,,unknown|제2캠퍼스|제3캠퍼스|분교|제4캠퍼스,0,0,False,False,False,PASS
dept_name_raw,identifier_or_label,K,department,string,string,False,10242,0,0.0,4946,,,,,,간호학과|경영물류학과|경찰소방학과|귀금속주얼리학과|물리치료학과,0,0,False,False,False,PASS
dept_name_std,identifier_or_label,K,department,string,string,False,10242,0,0.0,4890,,,,,,간호학과|경영물류학과|경찰소방학과|귀금속주얼리학과|물리치료학과,0,0,False,False,False,PASS
dept_field_raw,identifier_or_label,K,department,string,string,False,10242,0,0.0,4195,,,,,,간호|경영물류|경찰소방|귀금속주얼리|물리치료,0,0,False,False,False,PASS
dept_field_std,identifier_or_label,K,department,string,string,False,10242,0,0.0,4119,,,,,,간호|경영물류|경찰소방|귀금속주얼리|물리치료,0,0,False,False,False,PASS
