source_dataset,feature_block,semantic_role,measurement_level,column_n
D01_v2,B,department_structure_feature,school_department,5
D01_v2,DENOM,count_or_denominator_candidate,school_department,15
D01_v2,K,identifier_or_label,department,14
D01_v2,Q,admission_selectivity_feature,school_department,3
D01_v2,QUALITY,grain_lineage_metadata,department,2
D01_v2,QUALITY,match_or_review_metadata,row_quality,2
D01_v2,S0,stratification_feature,school_department,10
D02_v2,EMP,target_candidate_or_phase_signal,department,2
D02_v2,GRADE,target_candidate_or_phase_signal,department,3
D02_v2,K,identifier_or_label,department,7
D02_v2,POLICY,policy_feature,department,1
D02_v2,PROG,target_candidate_or_phase_signal,department,6
D02_v2,Q,selectivity_feature,department,1
D02_v2,QUALITY,target_family_observation_flag,row_quality,2
D02_v2,QUALITY,match_or_review_metadata,row_quality,1
D02_v2,QUALITY,sample_observation_flag,row_quality,1
D02_v2,S0,stratification_feature,school_department,1
D03_v2,K,identifier_or_label,department,6
D03_v2,QUALITY,match_or_review_metadata,row_quality,21
D03_v2,QUALITY,sample_observation_flag,row_quality,2
D03_v2,QUALITY,major_mapping_lineage_metadata,department,1
D03_v2,QUALITY,sample_exclusion_metadata,department,1
D03_v2,S0,stratification_feature,school_department,1
D04_v2,C24,major7_2024_context,major7_year,15
D07_HANDOFF,GOMS,major7_historical_context,major7,28
