grouping,group,column,missing_n,missing_pct,non_null_n
overall,ALL,analysis_year,0,0.0,10242
overall,ALL,outcome_row_id,0,0.0,10242
overall,ALL,school_name_raw,0,0.0,10242
overall,ALL,school_name_base_raw,0,0.0,10242
overall,ALL,school_name_std,0,0.0,10242
overall,ALL,campus_name_raw_x,0,0.0,10242
overall,ALL,campus_seq,0,0.0,10242
overall,ALL,campus_branch,0,0.0,10242
overall,ALL,campus_name_std_x,0,0.0,10242
overall,ALL,dept_name_raw,0,0.0,10242
overall,ALL,dept_name_std,0,0.0,10242
overall,ALL,dept_field_raw,0,0.0,10242
overall,ALL,dept_field_std,0,0.0,10242
overall,ALL,credit_forfeit_flag,0,0.0,10242
overall,ALL,selectivity_proxy_pct,6505,63.51298574497169,3737
overall,ALL,a_rate_pct,0,0.0,10242
overall,ALL,cd_rate_pct,0,0.0,10242
overall,ALL,f_rate_pct,0,0.0,10242
overall,ALL,employment_rate_pct,2765,26.996680335871897,7477
overall,ALL,health_employment_rate_pct,2765,26.996680335871897,7477
overall,ALL,progression_rate_pct,2655,25.92267135325132,7587
overall,ALL,vocational_college_progression_rate_pct,2655,25.92267135325132,7587
overall,ALL,university_progression_rate_pct,2655,25.92267135325132,7587
overall,ALL,graduate_school_progression_rate_pct,2655,25.92267135325132,7587
overall,ALL,domestic_progression_rate_pct,2655,25.92267135325132,7587
overall,ALL,overseas_progression_rate_pct,2655,25.92267135325132,7587
overall,ALL,has_selectivity,0,0.0,10242
overall,ALL,has_employment,0,0.0,10242
overall,ALL,has_progression,0,0.0,10242
overall,ALL,rate_range_qa,0,0.0,10242
overall,ALL,source_file,0,0.0,10242
overall,ALL,source_sha256,0,0.0,10242
overall,ALL,campus_region_raw,0,0.0,10242
overall,ALL,dept_norm_strict,0,0.0,10242
overall,ALL,dept_norm_suffix_reduced,0,0.0,10242
overall,ALL,dept_token_signature,0,0.0,10242
overall,ALL,school_uid_x,0,0.0,10242
overall,ALL,headcount_row_id,1681,16.412809998047255,8561
overall,ALL,match_stage,0,0.0,10242
overall,ALL,match_method,0,0.0,10242
overall,ALL,match_status,0,0.0,10242
overall,ALL,match_score,365,3.5637570786955672,9877
overall,ALL,candidate_count,0,0.0,10242
overall,ALL,review_needed,0,0.0,10242
overall,ALL,unmatched_reason,0,0.0,10242
overall,ALL,match_evidence,0,0.0,10242
overall,ALL,candidate_headcount_row_ids,0,0.0,10242
overall,ALL,candidate_preview,0,0.0,10242
overall,ALL,campus_conflict_flag,0,0.0,10242
overall,ALL,degree_course_conflict_flag,0,0.0,10242
overall,ALL,major_conflict_flag,0,0.0,10242
overall,ALL,forbidden_modifier_conflict_flag,0,0.0,10242
overall,ALL,headcount_match_flag,0,0.0,10242
overall,ALL,headcount_grain_version,1681,16.412809998047255,8561
overall,ALL,headcount_grain_uid,1681,16.412809998047255,8561
overall,ALL,grain_resolution_method,1681,16.412809998047255,8561
overall,ALL,grain_review_needed,1681,16.412809998047255,8561
overall,ALL,raw_row_lineage,1681,16.412809998047255,8561
overall,ALL,school_uid_y,1681,16.412809998047255,8561
overall,ALL,campus_uid,0,0.0,10242
overall,ALL,dept_uid,0,0.0,10242
overall,ALL,kedi_dept_code,1681,16.412809998047255,8561
overall,ALL,school_type,1681,16.412809998047255,8561
overall,ALL,degree_course,1681,16.412809998047255,8561
overall,ALL,school_status_raw,1681,16.412809998047255,8561
overall,ALL,day_evening_raw,1681,16.412809998047255,8561
overall,ALL,campus_name_raw_y,1681,16.412809998047255,8561
overall,ALL,campus_name_std_y,1681,16.412809998047255,8561
overall,ALL,region_sido,1681,16.412809998047255,8561
overall,ALL,region_sigungu,1681,16.412809998047255,8561
overall,ALL,hc_major_group_raw,1681,16.412809998047255,8561
overall,ALL,hc_major_group_7,1681,16.412809998047255,8561
overall,ALL,field_middle_name,1681,16.412809998047255,8561
overall,ALL,field_small_name,1681,16.412809998047255,8561
overall,ALL,admission_capacity_n,1681,16.412809998047255,8561
overall,ALL,recruitment_n,1681,16.412809998047255,8561
overall,ALL,applicants_n,1681,16.412809998047255,8561
overall,ALL,admits_n,1681,16.412809998047255,8561
overall,ALL,enrolled_students_n,1681,16.412809998047255,8561
overall,ALL,leave_students_n,1681,16.412809998047255,8561
overall,ALL,graduates_n,1681,16.412809998047255,8561
overall,ALL,fulltime_faculty_n,1681,16.412809998047255,8561
overall,ALL,nonfulltime_faculty_n,1681,16.412809998047255,8561
overall,ALL,international_students_n,1681,16.412809998047255,8561
overall,ALL,female_students_n,1681,16.412809998047255,8561
overall,ALL,masters_students_n,1681,16.412809998047255,8561
overall,ALL,doctoral_students_n,1681,16.412809998047255,8561
overall,ALL,competition_ratio,4985,48.67213434876001,5257
overall,ALL,admission_yield_ratio,4985,48.67213434876001,5257
overall,ALL,admit_per_applicant_ratio,4982,48.64284319468854,5260
overall,ALL,leave_rate_pct,1801,17.584456160906072,8441
overall,ALL,female_student_share_pct,1801,17.584456160906072,8441
overall,ALL,international_student_share_pct,1801,17.584456160906072,8441
overall,ALL,student_faculty_ratio,3863,37.71724272603007,6379
overall,ALL,fulltime_faculty_share_pct,3863,37.71724272603007,6379
overall,ALL,log_enrolled_students,1681,16.412809998047255,8561
overall,ALL,log_graduates,1681,16.412809998047255,8561
overall,ALL,school_uid,0,0.0,10242
overall,ALL,major_group_7,143,1.3962116774067566,10099
overall,ALL,major7_mapping_method,0,0.0,10242
overall,ALL,major7_mapping_confidence,0,0.0,10242
overall,ALL,major7_candidate_count,0,0.0,10242
overall,ALL,major7_review_needed,0,0.0,10242
