sample_id,registry_row_n,actual_row_n,diff_row_n,registry_school_n,actual_school_n,diff_school_n,train_n,validation_n,test_n,status
P1_STRUCTURE_READY,6270,6270,0,186,186,0,4623,932,715,PASS
P1_SELECTIVITY_READY,2416,2416,0,130,130,0,1789,367,260,PASS
P2_STRUCTURE_READY,8561,8561,0,198,198,0,6302,1263,996,PASS
P2_SELECTIVITY_READY,3198,3198,0,146,146,0,2355,522,321,PASS
P3_STRUCTURE_READY,8561,8561,0,198,198,0,6302,1263,996,PASS
P3_SELECTIVITY_READY,3198,3198,0,146,146,0,2355,522,321,PASS
P4_E_STRUCTURE_READY,6270,6270,0,186,186,0,4623,932,715,PASS
P4_P_STRUCTURE_READY,6366,6366,0,195,195,0,4687,949,730,PASS
P4_JOINT_STRUCTURE_READY,6270,6270,0,186,186,0,4623,932,715,PASS
P4_E_SELECTIVITY_READY,2416,2416,0,130,130,0,1789,367,260,PASS
P4_P_SELECTIVITY_READY,2439,2439,0,136,136,0,1805,372,262,PASS
P4_JOINT_SELECTIVITY_READY,2416,2416,0,130,130,0,1789,367,260,PASS
