outcome_row_id,school_name_raw,campus_name_raw_x,dept_name_raw,dept_name_std,major_group_7,match_status,match_method,unmatched_reason,row_qa_status,review_needed,headcount_match_flag,campus_conflict_flag,major7_mapping_method,major7_mapping_confidence,major7_review_needed,graduates_n,enrolled_students_n,applicants_n,a_rate_pct,cd_rate_pct,f_rate_pct,selectivity_proxy_pct,health_employment_rate_pct,graduate_school_progression_rate_pct,employment_rate_pct,progression_rate_pct,drop_structure_unresolved,drop_campus_conflict,drop_major7_unresolved,drop_d08_key_duplicate,drop_normalized_name_duplicate,drop_core_identity_missing,target_extreme_small_denom__a_rate_pct,target_extreme_small_denom__cd_rate_pct,target_extreme_small_denom__f_rate_pct,target_extreme_small_denom__selectivity_proxy_pct,target_extreme_small_denom__health_employment_rate_pct,target_extreme_small_denom__graduate_school_progression_rate_pct,target_extreme_small_denom__employment_rate_pct,target_extreme_small_denom__progression_rate_pct,drop_rate_extreme_small_denominator,strict_drop,strict_keep,drop_reasons,rate_extreme_targets
OC2024_00001,가야대학교(김해),김해,간호학과,간호학과,MED,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,162,822,1410,35.11405,25.497461,1.1858038,4.0,74.07407,0.0,74.07407,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00002,가야대학교(김해),김해,경영물류학과,경영물류학과,SOC,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,14,25,0,34.833332,13.333333,12.166667,,61.53846,0.0,69.23077,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00003,가야대학교(김해),김해,경찰소방학과,경찰소방학과,SOC,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,18,48,0,39.50727,21.864212,1.2396694,,50.0,0.0,61.11111,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00004,가야대학교(김해),김해,귀금속주얼리학과,귀금속주얼리학과,ART,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,12,10,0,51.785713,1.4285715,5.0,,36.363636,8.333333,36.363636,8.333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00005,가야대학교(김해),김해,물리치료학과,물리치료학과,MED,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,57,315,492,27.349869,32.314045,5.5764894,,91.07143,1.754386,91.07143,1.754386,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00006,가야대학교(김해),김해,방사선학과,방사선학과,MED,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,48,242,296,29.811026,30.436659,7.553396,3.75,76.08696,0.0,76.08696,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00007,가야대학교(김해),김해,부동산금융재테크학과,부동산금융재테크학과,SOC,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,0,18,29,61.48148,6.296296,12.222222,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00008,가야대학교(김해),김해,사회복지상담학과 | 사회복지상담학과(3년과정),사회복지상담학과사회복지상담학과3년과정,SOC,manual_pending,manual_pending,multiple_candidates,manual_match_pending,True,False,False,exact_dictionary,medium,False,,,,57.85181,7.277508,0.8905484,85.14667,52.083332,2.0,56.25,2.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,structure_unresolved,
OC2024_00009,가야대학교(김해),김해,스포츠재활복지학과,스포츠재활복지학과,MED,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,0,125,144,28.596071,26.954618,5.378185,86.89667,75.0,0.0,100.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,rate_extreme_small_denominator,graduate_school_progression_rate_pct|employment_rate_pct|progression_rate_pct
OC2024_00010,가야대학교(김해),김해,안경광학과,안경광학과,MED,manual_pending,manual_pending,multiple_fuzzy_or_conflict,manual_match_pending,True,False,False,keyword_rule,medium,False,,,,67.22408,0.0,0.0,,59.090908,0.0,72.72727,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,structure_unresolved,
