outcome_row_id,school_uid,split,has_structure_context,has_major_group_7_high_medium,has_ctx24_context,has_goms_context,sample_GRADE_ALL,sample_GRADE_ALL_with_structure,sample_GRADE_SELECTIVITY,sample_GRADE_SELECTIVITY_with_structure,sample_EMPLOYMENT_HEALTH,sample_EMPLOYMENT_HEALTH_with_structure,sample_PROGRESSION_GRADSCHOOL,sample_PROGRESSION_GRADSCHOOL_with_structure,sample_JOINT_EMP_PROG,sample_JOINT_EMP_PROG_with_structure
OC2024_00001,SCH_4fcb5ca730cd,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00002,SCH_4fcb5ca730cd,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00003,SCH_4fcb5ca730cd,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00004,SCH_4fcb5ca730cd,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00005,SCH_4fcb5ca730cd,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00006,SCH_4fcb5ca730cd,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00007,SCH_4fcb5ca730cd,train,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00008,SCH_4fcb5ca730cd,train,False,True,True,True,True,False,True,False,True,False,True,False,True,False
OC2024_00009,SCH_4fcb5ca730cd,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00010,SCH_4fcb5ca730cd,train,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00011,SCH_4fcb5ca730cd,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00012,SCH_4fcb5ca730cd,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00013,SCH_4fcb5ca730cd,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00014,SCH_4fcb5ca730cd,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00015,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00016,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00017,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00018,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00019,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00020,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,False,False,True,False,True,False,True,False
