search_term,outcome_row_id,school_name_raw,dept_name_raw,major_group_7,major7_mapping_method,major7_mapping_confidence,major7_evidence,human_major_group_7,special_term_rule,dictionary_rule_to_add,reviewer_note
융합,OC2024_01683,고려대학교(세종)_분교,디스플레이융합전공,,unknown,unknown,"no inherited, dictionary, or strict keyword evidence",,,,
융합,OC2024_01685,고려대학교(세종)_분교,문화ICT융합전공,,ambiguous,low,hits=ENG; evidence=ENG:ict; ambiguous_token=True,,,,
융합,OC2024_01686,고려대학교(세종)_분교,문화유산융합학부,,unknown,unknown,"no inherited, dictionary, or strict keyword evidence",,,,
융합,OC2024_01711,고려대학교(세종)_분교,전자·기계융합공학과,,ambiguous,low,hits=ENG; evidence=ENG:기계/전자/공학; ambiguous_token=True,,,,
융합,OC2024_01718,고려대학교(세종)_분교,컴퓨터융합소프트웨어학과,,ambiguous,low,hits=ENG; evidence=ENG:컴퓨터/소프트웨어; ambiguous_token=True,,,,
융합,OC2024_01918,광주여자대학교,미래융합학부(뷰티산업학과) | 미래융합학부(사회복지상담전공) | 미래융합학부(사회복지상담학과) | 미래융합학부(언어재활심리학과) | 미래융합학부(언어재활전공) | 미래융합학부(영양식품학과),,ambiguous,low,"hits=MED,ART,SOC,HUM; evidence=MED:재활 | ART:뷰티 | SOC:사회복지/심리/상담 | HUM:언어; ambiguous_token=True",,,,
융합,OC2024_02045,국립경국대학교,원예・생약융합학부,,ambiguous,low,hits=NAT; evidence=NAT:원예; ambiguous_token=True,,,,
융합,OC2024_02064,국립경국대학교,창의융합학부(이공계열) | 창의융합학부(인문사회계열),,ambiguous,low,"hits=SOC,HUM; evidence=SOC:회계 | HUM:인문; ambiguous_token=True",,,,
융합,OC2024_02408,국립부경대학교,데이터비즈니스융합전공,,ambiguous,low,"hits=ENG,SOC; evidence=ENG:데이터 | SOC:비즈니스; ambiguous_token=True",,,,
융합,OC2024_02706,국립한국해양대학교,전자전기정보공학부(나노반도체공학전공) | 전자전기정보공학부(데이터사이언스전공) | 전자전기정보공학부(전기전자공학전공) | 전자전기정보공학부(전자정보통신공학전공) | 전자전기정보공학부(전자통신공학전공) | 전자전기정보공학부(전파융합공학전공),,ambiguous,low,hits=ENG; evidence=ENG:데이터사이언스/데이터/전자/전기/정보통신; ambiguous_token=True,,,,
융합,OC2024_02717,국립한국해양대학교,"해양과학융합학부(수산바이오공학전공) | 해양과학융합학부(해양생물공학전공) | 해양과학융합학부(해양생물공학전공, 수산바이오공학전공) | 해양과학융합학부(해양환경학전공) | 해양과학융합학부(수산바이오공학전공) | 해양과학융합학부(해양생물공학전공) | 해양과학융합학부(해양환경학전공)",,ambiguous,low,"hits=ENG,NAT; evidence=ENG:공학 | NAT:생물/환경/수산/바이오/과학; ambiguous_token=True",,,,
융합,OC2024_03298,대구대학교,글로컬융합학부(평생교육・청소년학전공),,ambiguous,low,hits=EDU; evidence=EDU:교육; ambiguous_token=True,,,,
융합,OC2024_03325,대구대학교,시각디자인융합학부(서비스마케팅디자인전공) | 시각디자인융합학부(시각디자인전공) | 시각디자인융합학부(시각디자인전공),,ambiguous,low,"hits=ART,SOC; evidence=ART:디자인 | SOC:마케팅; ambiguous_token=True",,,,
융합,OC2024_04511,명지대학교_제2캠퍼스,미래융합경영학과,,ambiguous,low,hits=SOC; evidence=SOC:경영; ambiguous_token=True,,,,
융합,OC2024_04533,명지대학교_제2캠퍼스,융합예술실용음악학과,,ambiguous,low,hits=ART; evidence=ART:음악/실용음악/예술; ambiguous_token=True,,,,
융합,OC2024_04894,부산외국어대학교,G2(영·중)융합학부 | G2융합학과 | G2융합학과,,unknown,unknown,"no inherited, dictionary, or strict keyword evidence",,,,
융합,OC2024_04936,부산외국어대학교,영상콘텐츠융합전공 | 영상콘텐츠융합학과,,ambiguous,low,hits=ART; evidence=ART:영상/콘텐츠; ambiguous_token=True,,,,
융합,OC2024_04948,부산외국어대학교,일본어융합학부(비즈니스일본어전공) | 일본어융합학부(일본IT전공) | 일본어융합학부(한일문화콘텐츠전공),,ambiguous,low,"hits=ENG,ART,SOC,HUM; evidence=ENG:it | ART:콘텐츠 | SOC:비즈니스 | HUM:일문/문화콘텐츠; ambiguous_token=True",,,,
융합,OC2024_04950,부산외국어대학교,전자로봇・보안학부(스마트융합보안전공) | 전자로봇・보안학부(전자로봇전공),,ambiguous,low,hits=ENG; evidence=ENG:전자/로봇/보안; ambiguous_token=True,,,,
융합,OC2024_05753,성균관대학교,AI융합운영전공,,unknown,unknown,"no inherited, dictionary, or strict keyword evidence",,,,
융합,OC2024_05865,성신여자대학교,융합보안공학과,,ambiguous,low,hits=ENG; evidence=ENG:공학/보안; ambiguous_token=True,,,,
