dataset,column,dtype,p4_use,registry_reason,missing_n,strict_global_block_reason,strict_global_p4_use,manual_review_scope_decision,manual_review_note,manual_approved_p4_use
D08_v2,analysis_year,Int16,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,outcome_row_id,str,False,identifier_label_or_qa_metadata,0,,False,inherit_strict_global_policy,,False
D08_v2,school_name_raw,string,False,identifier_label_or_qa_metadata,0,,False,inherit_strict_global_policy,,False
D08_v2,school_name_base_raw,string,False,identifier_label_or_qa_metadata,0,,False,inherit_strict_global_policy,,False
D08_v2,school_name_std,string,False,identifier_label_or_qa_metadata,0,,False,inherit_strict_global_policy,,False
D08_v2,campus_name_raw_x,string,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,campus_seq,string,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,campus_branch,string,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,campus_name_std_x,string,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,dept_name_raw,string,False,identifier_label_or_qa_metadata,0,,False,inherit_strict_global_policy,,False
D08_v2,dept_name_std,string,False,identifier_label_or_qa_metadata,0,,False,inherit_strict_global_policy,,False
D08_v2,dept_field_raw,string,False,identifier_label_or_qa_metadata,0,,False,inherit_strict_global_policy,,False
D08_v2,dept_field_std,string,False,identifier_label_or_qa_metadata,0,,False,inherit_strict_global_policy,,False
D08_v2,credit_forfeit_flag,boolean,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,selectivity_proxy_pct,Float32,False,target_candidate_not_feature,6505,target_candidate_not_global_feature,False,inherit_strict_global_policy,,False
D08_v2,a_rate_pct,Float32,False,target_candidate_not_feature,0,target_candidate_not_global_feature,False,inherit_strict_global_policy,,False
D08_v2,cd_rate_pct,Float32,False,target_candidate_not_feature,0,target_candidate_not_global_feature,False,inherit_strict_global_policy,,False
D08_v2,f_rate_pct,Float32,False,target_candidate_not_feature,0,target_candidate_not_global_feature,False,inherit_strict_global_policy,,False
D08_v2,employment_rate_pct,Float32,True,candidate_feature_or_context,2765,self_target_leakage,False,inherit_strict_global_policy,,False
D08_v2,health_employment_rate_pct,Float32,False,target_candidate_not_feature,2765,target_candidate_not_global_feature,False,inherit_strict_global_policy,,False
D08_v2,progression_rate_pct,Float32,True,candidate_feature_or_context,2655,self_target_leakage,False,inherit_strict_global_policy,,False
D08_v2,vocational_college_progression_rate_pct,Float32,True,candidate_feature_or_context,2655,,True,inherit_strict_global_policy,,True
D08_v2,university_progression_rate_pct,Float32,True,candidate_feature_or_context,2655,,True,inherit_strict_global_policy,,True
D08_v2,graduate_school_progression_rate_pct,Float32,False,target_candidate_not_feature,2655,target_candidate_not_global_feature,False,inherit_strict_global_policy,,False
D08_v2,domestic_progression_rate_pct,Float32,True,candidate_feature_or_context,2655,,True,inherit_strict_global_policy,,True
D08_v2,overseas_progression_rate_pct,Float32,True,candidate_feature_or_context,2655,,True,inherit_strict_global_policy,,True
D08_v2,has_selectivity,boolean,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,has_employment,boolean,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,has_progression,boolean,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,rate_range_qa,category,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,source_file,str,False,identifier_label_or_qa_metadata,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D08_v2,source_sha256,str,False,identifier_label_or_qa_metadata,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D08_v2,campus_region_raw,string,False,identifier_label_or_qa_metadata,0,,False,inherit_strict_global_policy,,False
D08_v2,dept_norm_strict,string,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,dept_norm_suffix_reduced,string,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,dept_token_signature,string,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,school_uid_x,string,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,headcount_row_id,str,False,identifier_label_or_qa_metadata,1681,,False,inherit_strict_global_policy,,False
D08_v2,match_stage,str,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,match_method,str,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,match_status,str,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,match_score,float64,True,candidate_feature_or_context,365,,True,inherit_strict_global_policy,,True
D08_v2,candidate_count,Int16,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,review_needed,boolean,False,identifier_label_or_qa_metadata,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D08_v2,unmatched_reason,str,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
