scope,target_or_artifact,manual_decision,approved_n,blocked_or_dropped_n,evidence,note
2024_strict_clean,a_rate_pct,use_strict_target_sample,7592,2650,strict_target_sample_counts.csv,Use strict_target_sample_membership=True rows only for this target.
2024_strict_clean,cd_rate_pct,use_strict_target_sample,7592,2650,strict_target_sample_counts.csv,Use strict_target_sample_membership=True rows only for this target.
2024_strict_clean,f_rate_pct,use_strict_target_sample,7592,2650,strict_target_sample_counts.csv,Use strict_target_sample_membership=True rows only for this target.
2024_strict_clean,graduate_school_progression_rate_pct,use_strict_target_sample,5674,4568,strict_target_sample_counts.csv,Use strict_target_sample_membership=True rows only for this target.
2024_strict_clean,health_employment_rate_pct,use_strict_target_sample,5600,4642,strict_target_sample_counts.csv,Use strict_target_sample_membership=True rows only for this target.
2024_strict_clean,selectivity_proxy_pct,use_strict_target_sample,3119,7123,strict_target_sample_counts.csv,Use strict_target_sample_membership=True rows only for this target.
2023_extension,domestic_progression_rate_pct,exclude_2023_target,0,11287,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,Column is all-null in dept_outcomes_2023_sample.csv; exclude from 2023 target analysis.
2023_extension,graduate_school_progression_rate_pct,exclude_2023_target,0,11287,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,Column is all-null in dept_outcomes_2023_sample.csv; exclude from 2023 target analysis.
2023_extension,health_employment_rate_pct,exclude_2023_target,0,11287,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,Column is all-null in dept_outcomes_2023_sample.csv; exclude from 2023 target analysis.
2023_extension,overseas_progression_rate_pct,exclude_2023_target,0,11287,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,Column is all-null in dept_outcomes_2023_sample.csv; exclude from 2023 target analysis.
2023_extension,progression_rate_pct,exclude_2023_target,0,11287,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,Column is all-null in dept_outcomes_2023_sample.csv; exclude from 2023 target analysis.
2023_extension,selectivity_proxy_pct,exclude_2023_target,0,11287,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,Column is all-null in dept_outcomes_2023_sample.csv; exclude from 2023 target analysis.
2023_extension,university_progression_rate_pct,exclude_2023_target,0,11287,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,Column is all-null in dept_outcomes_2023_sample.csv; exclude from 2023 target analysis.
2023_extension,vocational_college_progression_rate_pct,exclude_2023_target,0,11287,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,Column is all-null in dept_outcomes_2023_sample.csv; exclude from 2023 target analysis.
panel_track,mart_department_panel_2023_2025,drop_panel_track,0,1,workbook/p2/p2_3/p4_handoff_candidate/shared/mart_department_panel_2023_2025.parquet,Required parquet file is absent; panel track is dropped for this P4 scope.
panel_track,mart_A_rate_transition_2023_2025,drop_panel_track,0,1,workbook/p2/p2_3/p4_handoff_candidate/shared/mart_A_rate_transition_2023_2025.parquet,Required parquet file is absent; panel track is dropped for this P4 scope.
target_specific_feature_block,health_employment_rate_pct <- employment_rate_pct,keep_blocked,0,1,target_leakage_override_sheet.csv,same_target_family_outcome|employment_lineage_name
target_specific_feature_block,health_employment_rate_pct <- has_employment,keep_blocked,0,1,target_leakage_override_sheet.csv,employment_lineage_name
target_specific_feature_block,employment_rate_pct <- employment_rate_pct,keep_blocked,0,1,target_leakage_override_sheet.csv,same_as_target|corr_abs_gt_0.995|deterministic_equality
target_specific_feature_block,employment_rate_pct <- has_employment,keep_blocked,0,1,target_leakage_override_sheet.csv,employment_lineage_name
target_specific_feature_block,graduate_school_progression_rate_pct <- progression_rate_pct,keep_blocked,0,1,target_leakage_override_sheet.csv,same_target_family_outcome|progression_lineage_name
target_specific_feature_block,graduate_school_progression_rate_pct <- vocational_college_progression_rate_pct,keep_blocked,0,1,target_leakage_override_sheet.csv,same_target_family_outcome|progression_lineage_name
target_specific_feature_block,graduate_school_progression_rate_pct <- university_progression_rate_pct,keep_blocked,0,1,target_leakage_override_sheet.csv,same_target_family_outcome|progression_lineage_name
target_specific_feature_block,graduate_school_progression_rate_pct <- domestic_progression_rate_pct,keep_blocked,0,1,target_leakage_override_sheet.csv,same_target_family_outcome|progression_lineage_name
target_specific_feature_block,graduate_school_progression_rate_pct <- overseas_progression_rate_pct,keep_blocked,0,1,target_leakage_override_sheet.csv,same_target_family_outcome|progression_lineage_name
target_specific_feature_block,graduate_school_progression_rate_pct <- has_progression,keep_blocked,0,1,target_leakage_override_sheet.csv,progression_lineage_name
target_specific_feature_block,progression_rate_pct <- progression_rate_pct,keep_blocked,0,1,target_leakage_override_sheet.csv,same_as_target|corr_abs_gt_0.995|deterministic_equality
target_specific_feature_block,progression_rate_pct <- vocational_college_progression_rate_pct,keep_blocked,0,1,target_leakage_override_sheet.csv,same_target_family_outcome|progression_lineage_name
target_specific_feature_block,progression_rate_pct <- university_progression_rate_pct,keep_blocked,0,1,target_leakage_override_sheet.csv,same_target_family_outcome|progression_lineage_name
target_specific_feature_block,progression_rate_pct <- domestic_progression_rate_pct,keep_blocked,0,1,target_leakage_override_sheet.csv,same_target_family_outcome|progression_lineage_name|corr_abs_gt_0.995
target_specific_feature_block,progression_rate_pct <- overseas_progression_rate_pct,keep_blocked,0,1,target_leakage_override_sheet.csv,same_target_family_outcome|progression_lineage_name
target_specific_feature_block,progression_rate_pct <- has_progression,keep_blocked,0,1,target_leakage_override_sheet.csv,progression_lineage_name
