review_id,target,blocked_feature,reasons,abs_corr_train_validation,deterministic_equal_rate,policy_action,agent_decision,agent_default_decision,allowed_human_decisions,human_decision,override_reason,reviewer,review_date,final_status
TL-001,health_employment_rate_pct,employment_rate_pct,same_target_family_outcome|employment_lineage_name,0.8102478276975554,0.254493278960882,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
TL-002,health_employment_rate_pct,has_employment,employment_lineage_name,,0.0,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
TL-003,employment_rate_pct,employment_rate_pct,same_as_target|corr_abs_gt_0.995|deterministic_equality,1.0,1.0,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
TL-004,employment_rate_pct,has_employment,employment_lineage_name,,0.0,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
TL-005,graduate_school_progression_rate_pct,progression_rate_pct,same_target_family_outcome|progression_lineage_name,0.9947958618143944,0.9058543125279308,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
TL-006,graduate_school_progression_rate_pct,vocational_college_progression_rate_pct,same_target_family_outcome|progression_lineage_name,0.0230136402500334,0.4275286757038581,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
TL-007,graduate_school_progression_rate_pct,university_progression_rate_pct,same_target_family_outcome|progression_lineage_name,0.0240808251406509,0.422910770147475,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
TL-008,graduate_school_progression_rate_pct,domestic_progression_rate_pct,same_target_family_outcome|progression_lineage_name,0.9938044852313588,0.8912557723819455,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
TL-009,graduate_school_progression_rate_pct,overseas_progression_rate_pct,same_target_family_outcome|progression_lineage_name,0.1173446512741289,0.4361686280351556,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
TL-010,graduate_school_progression_rate_pct,has_progression,progression_lineage_name,,0.0001489646953671,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
TL-011,progression_rate_pct,progression_rate_pct,same_as_target|corr_abs_gt_0.995|deterministic_equality,1.0,1.0,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
TL-012,progression_rate_pct,vocational_college_progression_rate_pct,same_target_family_outcome|progression_lineage_name,0.0475804611375327,0.4136749590347088,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
TL-013,progression_rate_pct,university_progression_rate_pct,same_target_family_outcome|progression_lineage_name,0.0975347058503601,0.4214211231938031,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
TL-014,progression_rate_pct,domestic_progression_rate_pct,same_target_family_outcome|progression_lineage_name|corr_abs_gt_0.995,0.9988130355127952,0.9754208252644124,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
TL-015,progression_rate_pct,overseas_progression_rate_pct,same_target_family_outcome|progression_lineage_name,0.1218384021958973,0.4057798301802472,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
TL-016,progression_rate_pct,has_progression,progression_lineage_name,,0.0001489646953671,exclude blocked_feature from this target model,auto_block_from_fail_audit,keep_blocked,keep_blocked|override_with_written_justification,keep_blocked,"leakage audit FAIL: target self/family lineage, deterministic equality, or same-outcome lineage evidence exists; no non-leakage timing or source justification provided.",Codex DS manual review,2026-07-13,approved
