column,dataset_n,numeric_n,missing_pct_mean,sample_paths
status,17,0,0.0,workbook/p2/p2_4/p4_1_data_contract/qa/all_gate_qa_summary.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d01_duplicate_audit.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d03_d08_spine_comparison.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_rate_range_audit.csv | workbook/p2/p2_4/p4_1_data_contract/qa/failed_checks.csv
outcome_row_id,16,0,0.0,workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_department_major7_v2.csv | workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_outcome_headcount_v2.csv | workbook/p2/p2_4/dept_outcomes_2023_sample.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_composite_key_duplicates.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_headcount_uid_duplicate_rows.csv
dataset,14,0,0.0,workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_campus_alias.csv | workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_department_alias.csv | workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_school_alias.csv | workbook/p2/p2_3/p4_handoff_candidate/local1/department_model_column_registry.csv | workbook/p2/p2_3/p4_handoff_candidate/shared/department_model_column_registry.csv
dtype,14,0,0.0,workbook/p2/p2_3/p4_handoff_candidate/local1/department_model_column_registry.csv | workbook/p2/p2_3/p4_handoff_candidate/shared/department_model_column_registry.csv | workbook/p2/p2_3/shared_handoff/goms_column_registry.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/d01_grain_profile.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/d01_missing_top200.csv
major_group_7,14,1,0.11276859417153244,workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_department_major7_v2.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/major_group_7_by_match_method_crosstab.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/major_group_7_distribution.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/target_missing_by_split_major.csv
dept_name_raw,12,0,0.002908951300906648,workbook/p2/p2_4/dept_outcomes_2023_sample.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_composite_key_duplicates.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_headcount_uid_duplicate_rows.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_normalized_name_duplicate_rows.csv | workbook/p2/p2_4/p4_1_data_contract/qa/major7_special_term_search.csv
rows,12,12,0.0,workbook/p2/p2_4/p4_1_data_contract/profiles/d01_grain_profile.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/d01_v2_dtype_profile.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/d03_v2_dtype_profile.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/d08_v2_dtype_profile.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/feature_missing_by_sample.csv
school_uid,12,0,0.0,workbook/p2/p2_3/p4_handoff_candidate/local1/dim_school_split.csv | workbook/p2/p2_3/p4_handoff_candidate/shared/dim_school_split.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_composite_key_duplicates.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_headcount_uid_duplicate_rows.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_normalized_name_duplicate_rows.csv
split,12,0,0.0,workbook/p2/p2_3/p4_handoff_candidate/local1/dim_school_split.csv | workbook/p2/p2_3/p4_handoff_candidate/shared/dim_school_split.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/split_by_major_group_7_crosstab.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/split_by_match_method_crosstab.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/split_row_school_summary.csv
school_name_raw,11,0,0.0,workbook/p2/p2_4/dept_outcomes_2023_sample.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_composite_key_duplicates.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_headcount_uid_duplicate_rows.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_normalized_name_duplicate_rows.csv | workbook/p2/p2_4/p4_1_data_contract/qa/major7_special_term_search.csv
actual,10,5,0.00851063829787234,workbook/p2/p2_4/p4_1_data_contract/qa/all_gate_qa_summary.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d03_d08_spine_comparison.csv | workbook/p2/p2_4/p4_1_data_contract/qa/failed_checks.csv | workbook/p2/p2_4/p4_1_data_contract/qa/local2_context_lineage_integrity.csv | workbook/p2/p2_4/p4_1_data_contract/qa/major7_mapping_integrity.csv
check,10,0,0.00851063829787234,workbook/p2/p2_4/p4_1_data_contract/qa/all_gate_qa_summary.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d03_d08_spine_comparison.csv | workbook/p2/p2_4/p4_1_data_contract/qa/failed_checks.csv | workbook/p2/p2_4/p4_1_data_contract/qa/local2_context_lineage_integrity.csv | workbook/p2/p2_4/p4_1_data_contract/qa/major7_mapping_integrity.csv
expected,10,4,0.07004909983633388,workbook/p2/p2_4/p4_1_data_contract/qa/all_gate_qa_summary.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d03_d08_spine_comparison.csv | workbook/p2/p2_4/p4_1_data_contract/qa/failed_checks.csv | workbook/p2/p2_4/p4_1_data_contract/qa/local2_context_lineage_integrity.csv | workbook/p2/p2_4/p4_1_data_contract/qa/major7_mapping_integrity.csv
match_method,10,0,0.0,workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_outcome_headcount_v2.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/structure_feature_non_null_by_match_method.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/structure_match_method_distribution.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_composite_key_duplicates.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_headcount_uid_duplicate_rows.csv
school_name_std,10,0,0.0,workbook/p2/p2_3/p4_handoff_candidate/local1/dim_school_split.csv | workbook/p2/p2_3/p4_handoff_candidate/shared/dim_school_split.csv | workbook/p2/p2_4/dept_outcomes_2023_sample.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_composite_key_duplicates.csv | workbook/p2/p2_4/p4_2_model_readiness/qa/d08_key_duplicate_detail.csv
analysis_year,9,8,0.0,workbook/p2/p2_4/dept_outcomes_2023_sample.csv | workbook/p2/p2_4/p4_1_data_contract/qa/d08_composite_key_duplicates.csv | workbook/p2/p2_4/p4_2_model_readiness/qa/d08_key_duplicate_detail.csv | workbook/p2/p2_4/source_eda/parquet_csv/workbook__p2__p2_3__p4_handoff_candidate__local1__dept_headcount_master_2024.csv | workbook/p2/p2_4/source_eda/parquet_csv/workbook__p2__p2_3__p4_handoff_candidate__local1__dept_master_2024_core.csv
column,9,0,0.0,workbook/p2/p2_3/p4_handoff_candidate/local1/department_model_column_registry.csv | workbook/p2/p2_3/p4_handoff_candidate/shared/department_model_column_registry.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/d01_missing_top200.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/d01_v2_missing_top200.csv | workbook/p2/p2_4/p4_1_data_contract/profiles/d03_v2_missing_top200.csv
