branch,major_group_7,outcome,grade_signal,row_n,school_n,outcome_non_null_n,outcome_zero_ratio,signal_nunique,signal_std,outcome_std,estimable,status,blocker,warning
STRUCTURE,ART,HEALTH_EMPLOYMENT,RAW_A,789,146,789,0.0063371356147021544,789,1.5204679169342346,0.16696271300315857,True,ESTIMABLE,,school_type sparse levels N<10: 2 | region_sido sparse levels N<10: 2
STRUCTURE,ART,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,789,146,789,0.0063371356147021544,789,1.5204679169342346,0.16696271300315857,True,ESTIMABLE,,school_type sparse levels N<10: 2 | region_sido sparse levels N<10: 2
STRUCTURE,ART,GRAD_SCHOOL_PROGRESSION,RAW_A,789,146,789,0.41191381495564006,789,1.5204679169342346,0.08658579736948013,True,ESTIMABLE,,school_type sparse levels N<10: 2 | region_sido sparse levels N<10: 2
STRUCTURE,ART,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,789,146,789,0.41191381495564006,789,1.5204679169342346,0.08658579736948013,True,ESTIMABLE,,school_type sparse levels N<10: 2 | region_sido sparse levels N<10: 2
STRUCTURE,EDU,HEALTH_EMPLOYMENT,RAW_A,630,119,630,0.004761904761904762,630,1.4999939203710144,0.1923605352640152,True,ESTIMABLE,,school_type sparse levels N<10: 2 | campus_branch sparse levels N<10: 1
STRUCTURE,EDU,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,630,119,630,0.004761904761904762,630,1.4999939203710142,0.1923605352640152,True,ESTIMABLE,,school_type sparse levels N<10: 2 | campus_branch sparse levels N<10: 1
STRUCTURE,EDU,GRAD_SCHOOL_PROGRESSION,RAW_A,630,119,630,0.6841269841269841,630,1.4999939203710144,0.06129104271531105,True,ESTIMABLE,,outcome zero_ratio > 0.60 | school_type sparse levels N<10: 2 | campus_branch sparse levels N<10: 1
STRUCTURE,EDU,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,630,119,630,0.6841269841269841,630,1.4999939203710142,0.06129104271531105,True,ESTIMABLE,,outcome zero_ratio > 0.60 | school_type sparse levels N<10: 2 | campus_branch sparse levels N<10: 1
STRUCTURE,ENG,HEALTH_EMPLOYMENT,RAW_A,1281,140,1281,0.00234192037470726,1270,1.0609013511698644,0.15309137105941772,True,ESTIMABLE,,school_type sparse levels N<10: 3
STRUCTURE,ENG,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,1281,140,1281,0.00234192037470726,1270,1.0609013511698644,0.15309137105941772,True,ESTIMABLE,,school_type sparse levels N<10: 3
