branch,control_set,outcome,grade_signal,primary_model,spec_rows
SELECTIVITY,B_CORE_B_SCALE_Q,GRAD_SCHOOL_PROGRESSION,RAW_A,True,1
SELECTIVITY,B_CORE_B_SCALE_Q,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,True,1
SELECTIVITY,B_CORE_B_SCALE_Q,HEALTH_EMPLOYMENT,RAW_A,True,1
SELECTIVITY,B_CORE_B_SCALE_Q,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,True,1
STRUCTURE,B_CORE,GRAD_SCHOOL_PROGRESSION,RAW_A,True,1
STRUCTURE,B_CORE,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,True,1
STRUCTURE,B_CORE,HEALTH_EMPLOYMENT,RAW_A,True,1
STRUCTURE,B_CORE,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,True,1
STRUCTURE,B_CORE_B_SCALE,GRAD_SCHOOL_PROGRESSION,RAW_A,False,1
STRUCTURE,B_CORE_B_SCALE,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,False,1
STRUCTURE,B_CORE_B_SCALE,HEALTH_EMPLOYMENT,RAW_A,False,1
STRUCTURE,B_CORE_B_SCALE,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,False,1
