branch,control_set,sample_id,major_group_7,outcome,grade_signal,estimable
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,ART,HEALTH_EMPLOYMENT,RAW_A,True
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,ART,GRAD_SCHOOL_PROGRESSION,RAW_A,True
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,EDU,HEALTH_EMPLOYMENT,RAW_A,True
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,EDU,GRAD_SCHOOL_PROGRESSION,RAW_A,True
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,ENG,HEALTH_EMPLOYMENT,RAW_A,True
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,ENG,GRAD_SCHOOL_PROGRESSION,RAW_A,True
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,HUM,HEALTH_EMPLOYMENT,RAW_A,True
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,HUM,GRAD_SCHOOL_PROGRESSION,RAW_A,True
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,MED,HEALTH_EMPLOYMENT,RAW_A,True
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,MED,GRAD_SCHOOL_PROGRESSION,RAW_A,True
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,NAT,HEALTH_EMPLOYMENT,RAW_A,True
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,NAT,GRAD_SCHOOL_PROGRESSION,RAW_A,True
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,SOC,HEALTH_EMPLOYMENT,RAW_A,True
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,SOC,GRAD_SCHOOL_PROGRESSION,RAW_A,True
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,ART,HEALTH_EMPLOYMENT,RAW_A,True
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,ART,GRAD_SCHOOL_PROGRESSION,RAW_A,True
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,EDU,HEALTH_EMPLOYMENT,RAW_A,True
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,EDU,GRAD_SCHOOL_PROGRESSION,RAW_A,True
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,ENG,HEALTH_EMPLOYMENT,RAW_A,True
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,ENG,GRAD_SCHOOL_PROGRESSION,RAW_A,True
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,HUM,HEALTH_EMPLOYMENT,RAW_A,True
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,HUM,GRAD_SCHOOL_PROGRESSION,RAW_A,True
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,MED,HEALTH_EMPLOYMENT,RAW_A,True
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,MED,GRAD_SCHOOL_PROGRESSION,RAW_A,True
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,NAT,HEALTH_EMPLOYMENT,RAW_A,True
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,NAT,GRAD_SCHOOL_PROGRESSION,RAW_A,True
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,SOC,HEALTH_EMPLOYMENT,RAW_A,True
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,SOC,GRAD_SCHOOL_PROGRESSION,RAW_A,True
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,ART,HEALTH_EMPLOYMENT,RAW_A,True
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,ART,GRAD_SCHOOL_PROGRESSION,RAW_A,True
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,EDU,HEALTH_EMPLOYMENT,RAW_A,True
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,EDU,GRAD_SCHOOL_PROGRESSION,RAW_A,True
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,ENG,HEALTH_EMPLOYMENT,RAW_A,True
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,ENG,GRAD_SCHOOL_PROGRESSION,RAW_A,True
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,HUM,HEALTH_EMPLOYMENT,RAW_A,True
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,HUM,GRAD_SCHOOL_PROGRESSION,RAW_A,True
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,MED,HEALTH_EMPLOYMENT,RAW_A,True
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,MED,GRAD_SCHOOL_PROGRESSION,RAW_A,True
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,NAT,HEALTH_EMPLOYMENT,RAW_A,True
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,NAT,GRAD_SCHOOL_PROGRESSION,RAW_A,True
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,SOC,HEALTH_EMPLOYMENT,RAW_A,True
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,SOC,GRAD_SCHOOL_PROGRESSION,RAW_A,True
