major_group_7,ame_10pp,ame_ci_low_10pp,ame_ci_high_10pp,ctx24_income_400plus_pct,ctx24_income_400plus_pct__unique_n,ctx24_large_mid_company_pct,ctx24_large_mid_company_pct__unique_n,goms_recent_firm_300plus_pct,goms_recent_firm_300plus_pct__unique_n,goms_recent_permanent_pct,goms_recent_permanent_pct__unique_n,goms_recent_professional_highskill_pct,goms_recent_professional_highskill_pct__unique_n,outcome
ART,-0.004299113454136146,-0.01468159585746101,0.007325005065178493,4.8919477,1,12.847938,1,8.162268,1,63.28796,1,54.354107,1,HEALTH_EMPLOYMENT
EDU,0.015633493230044156,0.0002561632199639525,0.031025696339146494,5.142599,1,3.548845,1,4.769505,1,79.45341,1,82.35141,1,HEALTH_EMPLOYMENT
ENG,0.019293907647504778,0.008277506239436771,0.028754622238991417,23.572332,1,32.198803,1,29.134941,1,84.83454,1,55.70421,1,HEALTH_EMPLOYMENT
HUM,0.020456479593155625,0.009140299686019334,0.03121201780224488,16.769264,1,19.289959,1,21.097418,1,73.15509,1,27.957674,1,HEALTH_EMPLOYMENT
MED,-0.005656646888103524,-0.03139036907773802,0.011755224077464163,13.206307,1,2.596486,1,34.586937,1,88.36591,1,88.55697,1,HEALTH_EMPLOYMENT
NAT,-0.004780071627994119,-0.018357682287781438,0.008952698144171229,11.394269,1,21.980719,1,20.634125,1,74.28932,1,45.12405,1,HEALTH_EMPLOYMENT
SOC,0.007144458729515359,-0.0024091301844460316,0.016208018620907514,16.07622,1,18.635672,1,20.332579,1,79.11846,1,23.923975,1,HEALTH_EMPLOYMENT
ART,0.006174260908314511,0.0005149794066556401,0.016800437111055083,4.8919477,1,12.847938,1,8.162268,1,63.28796,1,54.354107,1,GRAD_SCHOOL_PROGRESSION
EDU,0.005315531275911081,0.0016401970154029256,0.012117358349005443,5.142599,1,3.548845,1,4.769505,1,79.45341,1,82.35141,1,GRAD_SCHOOL_PROGRESSION
ENG,0.04569829145877204,0.01622845512170717,0.0912135459790856,23.572332,1,32.198803,1,29.134941,1,84.83454,1,55.70421,1,GRAD_SCHOOL_PROGRESSION
HUM,0.013732387901922407,0.004090408564878187,0.03164571859015556,16.769264,1,19.289959,1,21.097418,1,73.15509,1,27.957674,1,GRAD_SCHOOL_PROGRESSION
MED,0.003801081860533882,-0.0005926394501188857,0.07307119298841813,13.206307,1,2.596486,1,34.586937,1,88.36591,1,88.55697,1,GRAD_SCHOOL_PROGRESSION
NAT,0.0367302540297154,0.01168944630530656,0.06987562752328697,11.394269,1,21.980719,1,20.634125,1,74.28932,1,45.12405,1,GRAD_SCHOOL_PROGRESSION
SOC,0.011690291773049801,0.0051742957375792336,0.023298646792870078,16.07622,1,18.635672,1,20.332579,1,79.11846,1,23.923975,1,GRAD_SCHOOL_PROGRESSION
