major_group_7,outcome,model_family,old_n,strict_n,old_ame_10pp,strict_ame_10pp,absolute_change,sign_change,old_ci_low,old_ci_high,strict_ci_low,strict_ci_high,ci_overlap,branch,control_set,grade_signal
ART,GRAD_SCHOOL_PROGRESSION,fractional_logit,162,162,-0.0003915063829218,-0.0003915063829218875,8.749511531958021e-17,False,-0.0036714261731566,0.0091516933459689,-0.0036714261731566568,0.00915169334596895,True,SELECTIVITY,B_CORE_B_SCALE_Q,RAW_A
EDU,GRAD_SCHOOL_PROGRESSION,fractional_logit,351,351,0.0042585300912987,0.004258530091298723,2.2551405187698492e-17,False,-0.000639461364398,0.0193584494011932,-0.00063946136439801,0.019358449401193252,True,SELECTIVITY,B_CORE_B_SCALE_Q,RAW_A
ENG,GRAD_SCHOOL_PROGRESSION,fractional_logit,491,491,0.0199915759422618,0.019991575942261818,1.734723475976807e-17,False,0.0024743570295588,0.0492627164000853,0.0024743570295588063,0.0492627164000853,True,SELECTIVITY,B_CORE_B_SCALE_Q,RAW_A
HUM,GRAD_SCHOOL_PROGRESSION,fractional_logit,297,297,0.0052797080074557,0.005279708007455756,5.551115123125783e-17,False,-0.0020565334484844,0.0266306013231581,-0.002056533448484476,0.026630601323158174,True,SELECTIVITY,B_CORE_B_SCALE_Q,RAW_A
MED,GRAD_SCHOOL_PROGRESSION,fractional_logit,201,201,-0.0070385216081295,-0.007038521608129515,1.5612511283791264e-17,False,-0.0068480114654558,-0.0020893321619285,-0.006848011465455882,-0.0020893321619285836,True,SELECTIVITY,B_CORE_B_SCALE_Q,RAW_A
NAT,GRAD_SCHOOL_PROGRESSION,fractional_logit,369,369,0.0185792296469251,0.018579229646925172,7.28583859910259e-17,False,-0.0037155697043445,0.0537993693688618,-0.0037155697043445056,0.053799369368861864,True,SELECTIVITY,B_CORE_B_SCALE_Q,RAW_A
SOC,GRAD_SCHOOL_PROGRESSION,fractional_logit,441,441,0.0130284383382196,0.013028438338219615,1.5612511283791264e-17,False,0.0043498327629324,0.0303441356651467,0.004349832762932434,0.030344135665146772,True,SELECTIVITY,B_CORE_B_SCALE_Q,RAW_A
ART,GRAD_SCHOOL_PROGRESSION,ols_cluster,162,162,0.001994550123777582,0.0019945501237775827,8.673617379884035e-19,False,-0.013199466945580544,0.01718856719313571,-0.013199466945580544,0.01718856719313571,True,SELECTIVITY,B_CORE_B_SCALE_Q,RAW_A
EDU,GRAD_SCHOOL_PROGRESSION,ols_cluster,351,351,0.01036053136493865,0.01036053136493865,0.0,False,0.0037446310165353603,0.01697643171334194,0.0037446310165353603,0.01697643171334194,True,SELECTIVITY,B_CORE_B_SCALE_Q,RAW_A
ENG,GRAD_SCHOOL_PROGRESSION,ols_cluster,491,491,0.025811963476713693,0.025811963476713693,0.0,False,0.00894687708743584,0.042677049865991544,0.00894687708743584,0.042677049865991544,True,SELECTIVITY,B_CORE_B_SCALE_Q,RAW_A
