branch,control_set,major_group_7,outcome,grade_signal,model_family,diagnostic_flag
STRUCTURE,B_CORE,ART,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
STRUCTURE,B_CORE,ART,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
STRUCTURE,B_CORE,ART,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
STRUCTURE,B_CORE,ART,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
STRUCTURE,B_CORE,EDU,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
STRUCTURE,B_CORE,EDU,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
STRUCTURE,B_CORE,EDU,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
STRUCTURE,B_CORE,EDU,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
STRUCTURE,B_CORE,ENG,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
STRUCTURE,B_CORE,ENG,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
STRUCTURE,B_CORE,ENG,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
STRUCTURE,B_CORE,ENG,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
STRUCTURE,B_CORE,HUM,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
STRUCTURE,B_CORE,HUM,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
STRUCTURE,B_CORE,HUM,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
STRUCTURE,B_CORE,HUM,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
STRUCTURE,B_CORE,MED,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
STRUCTURE,B_CORE,MED,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
STRUCTURE,B_CORE,MED,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
STRUCTURE,B_CORE,MED,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
STRUCTURE,B_CORE,NAT,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
STRUCTURE,B_CORE,NAT,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
STRUCTURE,B_CORE,NAT,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
STRUCTURE,B_CORE,NAT,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
STRUCTURE,B_CORE,SOC,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
STRUCTURE,B_CORE,SOC,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
STRUCTURE,B_CORE,SOC,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
STRUCTURE,B_CORE,SOC,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
STRUCTURE,B_CORE_B_SCALE,ART,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
STRUCTURE,B_CORE_B_SCALE,ART,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
STRUCTURE,B_CORE_B_SCALE,ART,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
STRUCTURE,B_CORE_B_SCALE,ART,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
STRUCTURE,B_CORE_B_SCALE,EDU,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
STRUCTURE,B_CORE_B_SCALE,EDU,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
STRUCTURE,B_CORE_B_SCALE,EDU,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
STRUCTURE,B_CORE_B_SCALE,EDU,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
STRUCTURE,B_CORE_B_SCALE,ENG,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
STRUCTURE,B_CORE_B_SCALE,ENG,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
STRUCTURE,B_CORE_B_SCALE,ENG,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
STRUCTURE,B_CORE_B_SCALE,ENG,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
STRUCTURE,B_CORE_B_SCALE,HUM,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
STRUCTURE,B_CORE_B_SCALE,HUM,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
STRUCTURE,B_CORE_B_SCALE,HUM,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
STRUCTURE,B_CORE_B_SCALE,HUM,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
STRUCTURE,B_CORE_B_SCALE,MED,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
STRUCTURE,B_CORE_B_SCALE,MED,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
STRUCTURE,B_CORE_B_SCALE,MED,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
STRUCTURE,B_CORE_B_SCALE,MED,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
STRUCTURE,B_CORE_B_SCALE,NAT,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
STRUCTURE,B_CORE_B_SCALE,NAT,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
STRUCTURE,B_CORE_B_SCALE,NAT,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
STRUCTURE,B_CORE_B_SCALE,NAT,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
STRUCTURE,B_CORE_B_SCALE,SOC,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
STRUCTURE,B_CORE_B_SCALE,SOC,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
STRUCTURE,B_CORE_B_SCALE,SOC,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
STRUCTURE,B_CORE_B_SCALE,SOC,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
SELECTIVITY,B_CORE_B_SCALE_Q,ART,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
SELECTIVITY,B_CORE_B_SCALE_Q,ART,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
SELECTIVITY,B_CORE_B_SCALE_Q,ART,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
SELECTIVITY,B_CORE_B_SCALE_Q,ART,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
SELECTIVITY,B_CORE_B_SCALE_Q,EDU,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
SELECTIVITY,B_CORE_B_SCALE_Q,EDU,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
SELECTIVITY,B_CORE_B_SCALE_Q,EDU,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
SELECTIVITY,B_CORE_B_SCALE_Q,EDU,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
SELECTIVITY,B_CORE_B_SCALE_Q,ENG,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,
SELECTIVITY,B_CORE_B_SCALE_Q,ENG,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,
SELECTIVITY,B_CORE_B_SCALE_Q,ENG,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,
SELECTIVITY,B_CORE_B_SCALE_Q,ENG,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,
